,yihR
Cr_1,0.002325871195341896
Cr_2,0.0067044056836640135
Cr_3,0.008886835362353676
Cr_4,0.014447288979456806
Cr_5,0.018503961508061783
Cr_6,0.024782237493777688
Fe_1,-0.012567217139150329
Fe_2,-0.03309210923144645
Fe_3,-0.0645283508204883
Fe_4,-0.09200281165962568
Fe_5,-0.11415664820270005
Fe_6,-0.13074913200294866
Cd_1,-0.0017823030729128798
Cd_2,-0.003630069770795455
Cd_3,-0.003821375617313488
Cd_4,-0.004576253477189136
Cd_5,-0.01000266158149531
Cd_6,-0.012049668782718024
Zn_1,-4.2349984048685023e-05
Zn_2,-0.010393516637230866
Zn_3,-0.012765410705693026
Zn_4,-0.012620698568800659
Zn_5,-0.008384355064883147
Zn_6,-0.005333689395616616
Cu_1,0.005854694966046597
Cu_2,0.009119837827788971
Cu_3,0.017953489150319798
Cu_4,0.024149437527295915
Cu_5,0.028667046060632438
Cu_6,0.035323470654105835
Pb_1,0.0040367649337532535
Pb_2,0.011305985396104504
Pb_3,0.022460388192693585
Pb_4,0.03404514559467752
Pb_5,0.044857166975502925
Pb_6,0.05733208183027577
