,yhdN
Cr_1,-0.00041305800417146916
Cr_2,0.001393892969752576
Cr_3,0.006715481585288418
Cr_4,0.01463263875489335
Cr_5,0.024318373584747116
Cr_6,0.03211479104297813
Fe_1,-0.01009313429471522
Fe_2,-0.037561699383667685
Fe_3,-0.0694885003820212
Fe_4,-0.1089912105927236
Fe_5,-0.13920558954614642
Fe_6,-0.16415643222233472
Cd_1,0.0015476585283135545
Cd_2,0.002444984402540873
Cd_3,0.0044687130059924895
Cd_4,0.007022535369421645
Cd_5,0.005618860287047992
Cd_6,0.008883239470320351
Zn_1,0.0016857369478910493
Zn_2,-0.0018435998623386016
Zn_3,-0.0029449720452612467
Zn_4,0.004791091903047603
Zn_5,0.020022103219430626
Zn_6,0.038067799285503315
Cu_1,0.0036453239867733217
Cu_2,0.010691835847704535
Cu_3,0.018145212670169403
Cu_4,0.02184311741525832
Cu_5,0.025330996468733543
Cu_6,0.031748993470561544
Pb_1,0.002492933116023722
Pb_2,0.012411772742810256
Pb_3,0.02212819953659554
Pb_4,0.033950736847222
Pb_5,0.051765782891697205
Pb_6,0.06564122446327117
