,pmbA
Cr_1,0.003898439279857165
Cr_2,0.011086977359457396
Cr_3,0.017394855430841804
Cr_4,0.022116367750289124
Cr_5,0.025136960831852996
Cr_6,0.03007433418729248
Fe_1,-0.009994013577765559
Fe_2,-0.020994495796820986
Fe_3,-0.031703976375446155
Fe_4,-0.046069246269999135
Fe_5,-0.054335781022047884
Fe_6,-0.05828608238052532
Cd_1,0.00043992946080791297
Cd_2,0.0030793987825367005
Cd_3,0.006951830498387486
Cd_4,0.011523945791540044
Cd_5,0.013631909792342687
Cd_6,0.0225417959186662
Zn_1,0.0006809426793052351
Zn_2,0.0033607035672029
Zn_3,0.015268558558519729
Zn_4,0.03577256613392478
Zn_5,0.05432092875848401
Zn_6,0.07501281672972564
Cu_1,0.007873625755694749
Cu_2,0.014780434725769244
Cu_3,0.020883348149988545
Cu_4,0.03013586935703335
Cu_5,0.04014648931412658
Cu_6,0.053559547819077916
Pb_1,0.0047881702126681995
Pb_2,0.010690979936744413
Pb_3,0.019008903243390038
Pb_4,0.0306005930664173
Pb_5,0.04562884081229595
Pb_6,0.05733425580350264
