,A,YcjW
R2,,0.006688763982283685
xmin,,-4.1287803821
xmid,,
xmax,,2.8519588238
ystart,,0.9940181627016729
yend,,-0.2297754359489919
SRX1125282,2.5875404264,-0.060532080200000005
SRX1125283,-0.1087354051,-0.0916288474
SRX1125284,0.0184910278,-0.3800133806
SRX1125285,0.3586085177,-0.5959420181
SRX1125286,-0.9441432243000001,-0.7538505423
SRX1125287,-0.42905859300000004,-0.312378772
SRX1125288,-0.36676973760000003,-0.011627242000000001
SRX1125289,-1.8548016534,0.0774318414
SRX1125290,1.0278277557,-0.4978717294
SRX1125291,0.046698336900000005,-0.5414180214000001
SRX1125292,-0.9712476292000001,-0.5737171648
SRX1125293,1.4080949536,-0.1494518466
SRX1125294,-2.2207706888,0.0721593222
SRX1125295,1.3015845484,0.24999311270000002
SRX1125296,0.238662952,-0.0592865584
SRX1125297,0.5305549073,-0.610872959
SRX1125298,1.1421040662,-0.5851251971
SRX1125299,0.1163450473,-0.2239487122
SRX5694250,0.33425964480000003,-0.272990102
SRX5694251,0.0818257829,-0.0567103027
SRX5694252,-1.5662741499,-2.6306556322
SRX5694253,-0.0994185665,-0.1389710633
SRX5694254,0.2636770216,-0.9070919851
SRX5694255,0.27189003170000003,-2.6438822462
SRX5694256,-1.3162809816,-0.1485534803
SRX5694257,-3.8189280064,0.1676675114
SRX5694258,-2.2711471079,0.3907822977
SRX5694259,-1.0219748948,0.1965527185
SRX5694260,1.9485859948000002,-0.7125558292
SRX5694261,0.3751304257,-2.0727339986
SRX5694262,0.3278263225,-2.2196023481
SRX5694263,1.4675545775,-0.39164399050000004
SRX5694264,-2.5336777312,-0.1323389235
SRX5694265,3.0915322152,-0.2017329853
SRX5694267,-0.7279755450000001,0.024359631700000002
SRX5694268,-0.3770748983,-0.1328919094
SRX5694269,2.631347739,-0.4720216292
SRX5694271,-0.7207228378,0.1401522279
SRX5694273,-0.21432200410000002,-0.8340739052
SRX5694274,0.9704749561,-0.16486401550000002
