,yeeI
Cr_1,-0.0014995887864293405
Cr_2,-0.003681073689257381
Cr_3,-0.0051046510426179855
Cr_4,-0.0075915330891736625
Cr_5,-0.006948208715792328
Cr_6,-0.01171351263467192
Fe_1,-0.008948999742647425
Fe_2,-0.011482714927253418
Fe_3,-0.006996242556865098
Fe_4,-0.005315760096994372
Fe_5,-0.003033595073070059
Fe_6,0.003002766553689235
Cd_1,0.0009934166309570039
Cd_2,0.004741006493434589
Cd_3,0.008268065776375365
Cd_4,0.01072169711213602
Cd_5,0.008618244281052779
Cd_6,0.01404232773818338
Zn_1,0.0003209076002134403
Zn_2,0.011319865919479848
Zn_3,0.03275167985609412
Zn_4,0.056822153019921585
Zn_5,0.07822831393997431
Zn_6,0.09830035987746022
Cu_1,0.006174854071920596
Cu_2,0.015619806605535084
Cu_3,0.026169734310312
Cu_4,0.03948865980525451
Cu_5,0.05073910299786832
Cu_6,0.05837028013361891
Pb_1,0.0015214738594938931
Pb_2,0.0038975704319582525
Pb_3,0.007726975851751827
Pb_4,0.012606168329782513
Pb_5,0.015788899969590868
Pb_6,0.023922310996838742
