,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
62,Stressors__LoTm,-0.5026666666666676,0.15698274852140118,3.0,146.0,-0.5985000000000014,147.0,-0.588000000000001,148.0,-0.32150000000000034,,,,,,,,,,
63,Stressors__HiOs,-0.27726666666666827,0.13651301525251364,3.0,149.0,-0.17730000000000246,150.0,-0.221700000000002,151.0,-0.4328000000000003,,,,,,,,,,
64,Stressors__BMM,-0.3019666666666681,0.29601774158542093,3.0,152.0,-0.1612000000000009,153.0,-0.10260000000000247,154.0,-0.642100000000001,,,,,,,,,,
65,Stressors__Heat,-1.4281666666666677,0.5011507989950071,3.0,155.0,-1.0890000000000004,156.0,-1.1917000000000009,157.0,-2.003800000000002,,,,,,,,,,
66,Stressors__Cold,-0.6353333333333335,0.6463528551289417,3.0,158.0,-0.0033999999999991815,159.0,-0.6074000000000002,160.0,-1.2952000000000012,,,,,,,,,,
67,Stressors__Etha,-3.1417666666666673,0.4689070839018469,3.0,161.0,-2.7757000000000005,162.0,-3.670300000000001,163.0,-2.9793000000000003,,,,,,,,,,
68,Stress Time Course__SMM,-0.3529000000000006,0.12310012185209268,3.0,164.0,-0.3727000000000018,165.0,-0.4649000000000001,166.0,-0.22109999999999985,,,,,,,,,,
69,Stress Time Course__Salt,-1.5311000000000015,0.18481642243047577,3.0,167.0,-1.3272000000000013,168.0,-1.5785000000000018,169.0,-1.6876000000000015,,,,,,,,,,
70,Stress Time Course__Mt0,-5.156800000000001,0.5382496818392004,2.0,170.0,-4.776200000000001,171.0,-5.537400000000002,,,,,,,,,,,,
71,Stress Time Course__M0t45,-4.077766666666668,2.1252967847652084,3.0,172.0,-4.916400000000001,173.0,-1.6611000000000011,174.0,-5.655800000000001,,,,,,,,,,
72,Stress Time Course__M0t90,-2.6253000000000006,0.23596872674149,3.0,175.0,-2.8801000000000005,176.0,-2.414300000000001,177.0,-2.5815,,,,,,,,,,
