,STM2236
SRX3136375,0.2467211507
SRX3136376,-0.18722277810000001
SRX3136377,0.2876632451
SRX3136378,-0.34716161770000004
SRX3136379,0.28179170600000003
SRX3136380,0.1371068979
SRX3136381,-0.41713100940000003
SRX3136382,0.0763763762
SRX8914620,-0.025446103600000002
SRX8914621,0.07786031980000001
SRX8914622,-0.0524142162
SRX8914623,-0.1244987605
SRX8914625,0.11152735180000001
ERX3503512,-0.17771077170000002
ERX3503513,0.15427597710000002
ERX3503514,0.0234347946
ERX3503515,0.1446830094
ERX3503516,0.3617148961
ERX3503517,0.788593945
ERX3503518,0.1204854375
ERX3503519,-0.2509110438
ERX3503520,0.22800190850000002
SRX2195704,0.2952259016
SRX2195705,-0.2952259016
SRX2195706,0.0841772273
SRX2195707,-0.6952970131
SRX2195708,-0.35589371080000004
SRX2195709,0.42113813050000004
SRX2195710,0.2920841966
SRX2195711,-0.707857684
ERX3467881,-0.14717902800000002
ERX3467883,0.14717902800000002
SRX3798491,6.6627975828
SRX3798492,7.0370272988
SRX3798499,7.5739042185
SRX3798500,2.8512503616
SRX3798501,5.935241337
SRX3798502,6.4817129318
SRX3798503,0.4397939583
SRX3798504,1.382392026
SRX3798506,1.3493264674
SRX3798507,2.59537457
SRX3798508,3.2862063191
SRX3798509,0.0994721346
SRX3798510,-0.0777910103
SRX3798517,7.3369332854
SRX3798518,-0.0216811243
SRX4341761,0.0429990707
SRX4341762,-0.4392694588
SRX4341763,1.1379229044999999
SRX4341764,1.2883088387
SRX4341765,0.6419088831
SRX4341766,-0.0206578301
SRX4341767,0.3515216532
SRX4341768,-0.4392694588
SRX4341769,0.0877478056
SRX1258665,3.8148330965
SRX1258666,4.3013680591
SRX1258667,3.684519191
SRX1258669,-0.8128503706
SRX1258670,0.8128503706
ERX2079594,0.1840817573
ERX2079595,-0.6581330091
ERX2079596,-0.4727820592
ERX2079597,0.09919464110000001
ERX2079598,-0.2227399827
ERX2079599,0.1235453417
SRX2804001,0.15455597470000002
SRX2804004,2.1405664991
SRX2804005,2.234615562
SRX2804006,0.1942264908
SRX2804007,2.1056484229
SRX2804008,1.8249793839000001
SRX2804009,0.2787654798
SRX2804010,-0.06366061690000001
SRX2804011,-0.4164126416
SRX2804012,0.1107105832
SRX2804013,2.1517982981
SRX2804014,1.9612451491
SRX2804015,2.0664832864
SRX2804016,1.7098629030999999
SRX2804017,2.0738186617
SRX2804019,2.1722182832
SRX2804020,0.2354180226
SRX2804021,0.23962466670000002
SRX2804022,-0.1816458595
SRX2804023,1.6021044748
SRX2804024,0.0547949165
SRX2804027,0.004903252
SRX2804028,-0.1271310478
SRX2804029,0.1222277957
SRX2804030,1.4709673669
SRX2804031,1.4245440372
SRX2804032,1.6817048859
SRX2804033,0.0666008226
SRX2804034,2.171053845
SRX2804035,0.9234213758
SRX2804036,1.1376744732
SRX2804037,0.8890221260000001
SRX2804038,1.5606131285
SRX2804039,0.1625447421
SRX2804040,0.0629754741
SRX2804041,2.1110056538
SRX2804042,2.3639806308
SRX2804043,1.6742943614999999
SRX2804044,1.4353137498000001
SRX2804045,-0.2911789687
SRX2804046,-0.3814154361
SRX2804047,1.9928852684
SRX2804048,-0.0637456519
SRX2804049,1.7313584784
SRX2804050,1.5258618951
SRX2804051,1.8984106581
SRX2804052,0.046937505000000004
SRX2804053,0.046752224700000004
SRX2804054,0.3083361298
SRX2804055,0.8611150761
SRX2804056,1.2797838454
SRX2804057,1.8008269298
SRX2804058,-0.2015086912
SRX2804059,0.1447743314
SRX2070419,-0.07892268570000001
SRX2070420,-0.1268608166
SRX2070421,-0.5692505436
SRX2070422,-0.0611978368
SRX2070423,-0.17558154650000002
SRX2070424,-0.6957198186
SRX2070425,0.0733527217
SRX2070426,0.2790094841
SRX2070427,-0.3523622058
SRX1470895,-0.12558723500000002
SRX1470896,0.12558723500000002
SRX2409106,0.5385698593
SRX2409107,-0.36847234500000003
SRX2409108,-0.1700975143
SRX2409109,-0.46035256680000003
SRX2409110,0.3245888716
SRX2409111,-0.8533673669
SRX7973255,0.5817864419000001
SRX7973256,-0.8755779896
SRX7973257,0.2937915477
SRX7973258,-0.0486848342
SRX7973259,0.0335473844
SRX7973260,0.4937534569
SRX7973261,0.8835498713000001
SRX7973262,1.2790054598
SRX7973264,0.5291056487
SRX7973265,1.2138339868
SRX7973266,0.6554412443000001
ERX3475890,-0.4796579441
ERX3475891,-0.6456118997
ERX3475892,-0.41160235430000003
ERX3475894,-0.4222794657
ERX3475895,0.3588733249
ERX3475896,0.31793652650000004
ERX3475897,-0.299297552
ERX3475899,-0.018638974500000002
ERX3475900,-0.4509305415
ERX3475901,-0.3139541321
SRX8524961,-0.2202723407
SRX8524962,0.30189115040000003
SRX8524963,0.0803069267
SRX8524964,0.3857640419
SRX8524965,0.0022956089
SRX8524966,-0.0022956089
SRX8524967,-0.27266122
SRX8524968,0.307608579
SRX8524969,0.2401957968
SRX8524970,1.2312787699
SRX8524971,1.2931311729
SRX8524972,0.8053536327
SRX3266937,0.523678917
SRX3266939,-0.523678917
SRX4401053,-0.32942675990000003
SRX4401054,0.32942675990000003
SRX4401055,-0.0421596465
SRX4401056,0.17852068640000002
SRX4401057,0.0050748803
SRX4401058,0.2139988172
SRX4401081,-0.5603193309
SRX4401082,-0.154793485
SRX4401083,0.3397169403
SRX4401084,1.1353108706
SRX4401085,1.3737353515000001
SRX4401086,2.2083821889
SRX4401087,-0.06816580650000001
SRX4401088,-0.5767858484
SRX4401089,-0.0415145696
SRX4401090,4.8933021092
SRX4401091,5.5365101366000005
SRX4401092,6.0604612114
SRX4401093,-0.2829128546
SRX4401094,-0.3800020081
SRX4401095,-0.40293942790000004
SRX4401096,1.355298569
SRX4401097,2.5225577882
SRX4401098,3.2984425474
SRX4401099,-0.0802146937
SRX4401100,0.375146888
SRX4401101,-0.2949321942
SRX4401102,4.5139952426
SRX4401103,5.2225903144
SRX4401104,4.1858837755
SRX8757611,1.1727284187
SRX8757612,-0.1062434555
SRX8757613,0.34326331790000003
SRX8757614,-0.048859423400000004
SRX8757615,0.3235610727
SRX8757616,0.5886348022
SRX8757617,0.9724065466
SRX8757618,0.9705954827000001
SRX8757619,-1.0362572341
SRX8757620,0.28973802790000003
SRX8757621,1.1244329247
SRX8757622,-0.326379064
SRX8757623,0.2156458337
SRX8757625,0.8558437386000001
SRX8757626,0.7906186296000001
SRX8757628,-0.18349457230000002
SRX8757630,0.6374725015
SRX8757631,-1.0362572341
SRX8757632,1.4347984443000001
SRX8757633,-1.0362572341
SRX8757634,-0.6364697071000001
SRX6054568,-0.07561508880000001
SRX6054569,0.07561508880000001
ERX540771,0.0
ERX540772,0.0
