,iModulon,Gene
0,1,PP_0294
1,1,PP_0295
2,1,PP_0296
3,1,PP_0297
4,1,PP_0308
5,1,PP_0309
6,1,PP_0310
7,1,PP_0311
8,1,PP_0312
9,1,PP_0313
10,1,PP_0315
11,1,PP_0316
12,1,PP_0322
13,1,PP_0323
14,1,PP_0324
15,1,PP_0325
16,1,PP_0326
17,1,PP_0328
18,1,PP_0708
19,1,PP_0709
20,1,PP_0710
21,1,PP_0895
22,1,PP_0896
23,1,PP_1741
24,1,PP_2183
25,1,PP_2185
26,1,PP_2909
27,1,PP_3657
28,1,PP_4495
29,1,PP_4523
30,1,PP_4619
31,1,PP_4620
32,1,PP_4665
33,1,PP_4756
34,1,PP_4946
35,1,PP_4947
36,2,PP_2034
37,2,PP_2035
38,2,PP_2036
39,2,PP_2037
40,3,PP_0181
41,3,PP_0273
42,3,PP_0318
43,3,PP_0319
44,3,PP_0415
45,3,PP_0427
46,3,PP_0431
47,3,PP_0489
48,3,PP_0563
49,3,PP_0585
50,3,PP_0586
51,3,PP_0625
52,3,PP_0807
53,3,PP_1000
54,3,PP_1001
55,3,PP_1002
56,3,PP_1003
57,3,PP_1130
58,3,PP_1210
59,3,PP_1211
60,3,PP_1375
61,3,PP_1407
62,3,PP_1500
63,3,PP_1501
64,3,PP_1638
65,3,PP_1729
66,3,PP_2010
67,3,PP_2107
68,3,PP_2108
69,3,PP_2115
70,3,PP_2161
71,3,PP_2187
72,3,PP_2459
73,3,PP_2874
74,3,PP_5591
75,3,PP_3234
76,3,PP_3580
77,3,PP_3610
78,3,PP_3640
79,3,PP_3661
80,3,PP_3722
81,3,PP_3723
82,3,PP_3822
83,3,PP_3823
84,3,PP_3839
85,3,PP_3931
86,3,PP_4103
87,3,PP_4115
88,3,PP_4249
89,3,PP_4250
90,3,PP_4323
91,3,PP_4324
92,3,PP_4325
93,3,PP_4625
94,3,PP_4870
95,3,PP_5189
96,3,PP_5206
97,3,PP_5207
98,4,PP_2673
99,4,PP_2674
100,5,PP_0269
101,5,PP_0372
102,5,PP_5458
103,5,PP_1263
104,5,PP_1264
105,5,PP_1265
106,5,PP_1266
107,5,PP_3180
108,5,PP_4488
109,5,PP_4557
110,6,PP_2520
111,7,PP_1110
112,7,PP_1111
113,7,PP_1112
114,7,PP_1362
115,7,PP_1444
116,7,PP_1808
117,7,PP_1820
118,7,PP_3405
119,7,PP_3713
120,7,PP_4701
121,8,PP_0025
122,8,PP_0027
123,8,PP_0028
124,8,PP_0031
125,8,PP_0032
126,8,PP_0042
127,8,PP_0044
128,8,PP_0045
129,8,PP_0046
130,8,PP_0047
131,8,PP_1439
132,8,PP_2698
133,8,PP_2699
134,8,PP_2877
135,8,PP_2878
