,grxA
Cr_1,-0.002744799383835612
Cr_2,-0.004466169695627274
Cr_3,-0.0069793999262608075
Cr_4,-0.01787974998141605
Cr_5,-0.02688375144700611
Cr_6,-0.03719207593621938
Fe_1,-0.0403436432476663
Fe_2,-0.0559683356580676
Fe_3,-0.10089340531557787
Fe_4,-0.13821936660248849
Fe_5,-0.14648479174788726
Fe_6,-0.14693359898683248
Cd_1,0.007674616489032603
Cd_2,0.015463877554247343
Cd_3,0.020489096045396768
Cd_4,0.025216355026434958
Cd_5,0.02629589837605929
Cd_6,0.03411329149860692
Zn_1,0.16356479267983326
Zn_2,0.4469808057646314
Zn_3,0.21183002118634306
Zn_4,0.5240912107648775
Zn_5,0.3778434047013367
Zn_6,0.31766125965649256
Cu_1,0.00744779250677131
Cu_2,0.006296215341701139
Cu_3,0.0045583481970144606
Cu_4,0.006156209876524228
Cu_5,0.013747534371130346
Cu_6,0.01912357606331128
Pb_1,-0.002581360299387616
Pb_2,-0.010746379999363788
Pb_3,-0.014814362559652057
Pb_4,-0.00819102299811994
Pb_5,-0.00911377444232202
Pb_6,-0.01019762780486943
