,A,Zur,ZntR
R2,,0.005817716121053196,0.0
xmin,,4.9440678193,3.9511311991999998
xmid,,,
xmax,,8.3639256559,7.713083694
ystart,,2.442735759077092,3.5247959878129502
yend,,5.602679714453032,3.5247959878129502
control__wt_glc__1,0.08447715480000001,6.5283295003,4.6530442006
control__wt_glc__2,-0.08447715480000001,6.5776982056,5.8353646513
fur__wt_dpd__1,1.471638144,5.5611833853,5.9362415949
fur__wt_dpd__2,1.8788921366,6.0852428489,6.0448109305
fur__wt_fe__1,21.1147818675,5.9651427722,5.0266747825
fur__wt_fe__2,21.2480219238,6.0161391513,4.6560442895000005
fur__delfur_dpd__1,3.2343271805000002,5.8863600273,5.7114577304
fur__delfur_dpd__2,6.8302049635,5.9927470214,5.7337605512
fur__delfur_fe2__1,5.3495494301,6.2115875643,5.4770251675
fur__delfur_fe2__2,6.0187706675,5.9035887437,5.7817477981
acid__wt_ph5__1,1.0279533968,6.1631256194,5.0738116567
acid__wt_ph5__2,1.8197440923000001,6.0354970255,5.2045969843
acid__delgadx_ph5__1,1.1079948636,6.1040340551,4.9052986949
acid__delgadx_ph5__2,1.787569488,6.2061008027,5.1214031448
acid__delgadw_ph5__1,1.1682878472,6.1399852636,5.1942541951
acid__delgadw_ph5__2,1.5255575807000001,6.03952775,5.4268243434
acid__delgade_ph5__1,1.5249360869,6.2428165928,5.2497477285
acid__delgade_ph5__2,1.8170480306,6.1017939081,5.1724256051
oxidative__wt_pq__1,18.6352606013,6.3669988248,5.6756503709
oxidative__wt_pq__2,18.5892000387,6.113894715,5.7620990178
oxidative__deloxyr_pq__1,0.4174319789,6.5047544954,5.777446329
oxidative__deloxyr_pq__2,0.2843163554,6.539928568,5.7512019854
oxidative__delsoxr_pq__1,19.3758098365,6.0487010368,5.8104766217
oxidative__delsoxr_pq__2,19.3633979286,6.1326431927,5.8820195735
oxidative__delsoxs_pq__1,5.2662288293,6.3452552798,6.3610201548
oxidative__delsoxs_pq__2,5.7071479885,6.4942299972,6.174420391
nac_ntrc__wt_csn__1,0.42765368130000003,6.4263592131,5.8067684666
nac_ntrc__wt_csn__2,0.5368120271,6.3158007276,6.0061114129
nac_ntrc__wt_cytd__1,16.6845773662,6.0656618101,5.3555621642
nac_ntrc__wt_cytd__2,16.666769851,6.1692180987,5.2923264052
nac_ntrc__wt_gln__1,0.5685931346,5.7172700482,5.4989662984
nac_ntrc__wt_gln__2,0.8990699846,6.0671722033,5.8880019354
nac_ntrc__bw_delnac_csn__1,0.8944186939000001,6.257317863,5.9766410094
nac_ntrc__bw_delnac_csn__2,-1.2957586394,6.3855643513,6.4008480725
nac_ntrc__bw_delnac_cytd__1,0.3167777808,6.0335511979,5.3391401948
nac_ntrc__bw_delnac_cytd__2,-0.0269474681,5.794656003,5.2614379695
nac_ntrc__bw_delnac_gln__1,0.7449269885,5.7163314275,5.6589755138
nac_ntrc__bw_delnac_gln__2,2.3333079375,5.3427315744,5.7123253221
nac_ntrc__bw_delnac_nh4__1,1.8752159979,5.7767476628,5.0932591015
nac_ntrc__bw_delnac_nh4__2,1.0972790049,5.845849842,5.11757761
misc__wt_no_te__1,20.6820771099,5.7879990183,5.0588037333
misc__wt_no_te__2,8.9648516908,6.0824855621,5.1325299062
misc__bw_delcbl__1,0.8766541968,6.083900564,5.0691463474
misc__bw_delcbl__2,0.7958768156,6.0515405993,4.9433452069
misc__bw_delfabr__1,1.6731540715,6.0487288962,4.2179943843
misc__bw_delfabr__2,0.9089764453,5.9239977726,4.8554281698
misc__bw_delfadr__1,-0.1755653307,6.0981230028,4.9707499601
misc__bw_delfadr__2,0.6246422712,6.0171490905,5.0617178168
misc__nitr_031__1,-0.4559782485,5.6195633301,5.6609719422
omics__wt_glu__1,1.0861582394,6.2740012383,3.9511311991999998
omics__wt_glu__2,1.2116564831,6.3667931485,4.6097001272
omics__wt_gly__1,2.7083959550000003,6.0947315117,4.5990865401
omics__wt_gly__2,2.3279836505000002,6.0935812873,4.4936978713
omics__wt_thr__1,18.0014141687,7.50077045,4.8178841925
omics__wt_thr__2,18.1875129133,7.4170323418,4.3305362376
omics__bw_ac__1,0.7659099624,6.5298574066,5.3907940875
omics__bw_ac__2,0.5412347181,6.5179483094,5.6600242702
omics__bw_fum__1,1.0406923745,6.6827230598,5.4624613133
omics__bw_fum__2,0.9905088123,6.6518502518,5.1636348866
omics__bw_glc__1,0.6163154534,6.7329786411,5.6494637266000005
omics__bw_glc__2,0.5631172178,6.6874417734,5.5092637912
omics__bw_pyr__1,-0.4542632313,6.7394864206000005,5.7614703307
omics__bw_pyr__2,0.1719464037,6.9885967234,5.6641031241
ompr__wt_nacl__1,19.1570037084,5.4223352065,4.6873833124
ompr__wt_nacl__2,18.3987866448,5.4083171305,4.7774553342
ompr__bw_delompr_nacl__1,1.6526617624000002,4.9976858115,5.5305906952
ompr__bw_delompr_nacl__2,0.5039810093,5.1033733864,5.5332654958
minspan__wt_ade__1,3.0812939307,6.2651592671,6.5378184578
minspan__wt_glc__1,5.6691401576,6.2602836381,6.1010338119
minspan__wt_glc__2,12.1175272953,5.9478665344,5.6673050105
minspan__wt_glc__3,2.8244816472,6.1501103986,6.0660872706
minspan__wt_glc__4,2.1646864995,5.8318955927000005,5.686747395
minspan__wt_glc_anaero__1,-0.41948863700000005,6.6174966731,6.2334203332
minspan__wt_glc_anaero__2,-2.0785642911,6.4247596668,6.1017170724
minspan__wt_trp__1,7.3567813268,6.8701911446,6.0762676628
minspan__bw_delcra_glc__1,10.204064521,6.8744879944,6.04814379
minspan__bw_delcra_glc__2,10.3295524352,7.0216965683,6.0816635451
minspan__bw_delcra_trp__1,5.6576628668,7.0074862391,6.0429234727
minspan__bw_delmntr__1,1.0955758878,6.5685401795,5.8164503437
minspan__bw_delnac_ade__1,1.4721400896,6.5438166622,6.4626027568
minspan__bw_delnac_glc__1,10.1461031798,6.1285413546,5.6850367923
cra_crp__wt_ac__1,0.6376982242,5.7757085225,4.2789983929
cra_crp__wt_ac__2,-0.055522515,5.9660678253,4.3734009443
cra_crp__wt_fru__1,-0.3642363927,5.9515815737,4.5334996448
cra_crp__wt_fru__2,0.3650109775,6.1878245754,4.1230976914
cra_crp__delcra_ac__1,0.18583161820000002,6.3998572731,5.0675587424
cra_crp__delcra_ac__2,1.1081602766,6.4338350184,5.5743524719
cra_crp__delcra_fru__1,0.6403494327,6.1532762459,5.0958445083
cra_crp__delcra_fru__2,0.8127703212,5.9406176428,5.3224842346
cra_crp__delcra_glc__1,0.8580332051,6.1121008922,4.7222964086
cra_crp__delcra_glc__2,1.3727939365,5.873162673,4.9215396157
rpoB__wt_031__1,17.8978801408,5.7416584457,6.0270193784
rpoB__wt_044__1,18.3908536657,5.7018155897,5.4168871492
rpoB__wt_lb__1,-1.1295149627,5.2423002655,5.0178727659
rpoB__wt_lb__2,0.3465693863,5.4744349969,5.0714405644
rpoB__rpoBE546V_031__1,18.2234311171,6.3319689006,5.9187779063
rpoB__rpoBE546V_044__1,18.037621155,6.2529324659,5.7522248366
rpoB__rpoBE546V_lb__1,0.0114809922,5.2544238663,4.554780346
rpoB__rpoBE546V_lb__2,-0.2709813014,5.5191835213000005,4.9623434503
rpoB__rpoBE546V_glc__1,18.3459874547,6.0787518048999996,6.0804791285
rpoB__rpoBE672K_glc__1,14.5308376222,5.9494499094,5.7738863171
rpoB__rpoBE672K_glc__2,14.4531281569,5.7160297354,5.4858439989
rpoB__rpoBE672K_lb__1,-0.1874366755,5.9909042041,5.1593809923
rpoB__rpoBE672K_lb__2,-0.2586643695,5.9176268934,5.0389662067
crp__wt_fru__1,0.5180944161000001,6.5993873458,5.2409957334
crp__wt_glyc__1,0.46239507960000004,6.2553240369,5.2985636539
crp__wt_glyc__2,0.1873329346,6.0909901869,5.2763946328
crp__delar1_glyc__1,0.4417581742,7.419141185,5.5275521464
crp__delar1_glyc__2,-0.0006723322000000001,7.5067521019,5.8754608501
