gene_id,USA300HOU_RS03160
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),Genomic Island 2
link,"<a href=""nan"">AureoWiki</a>"
