sample,new_2169927_2169994
LBexp_1,6.8781
LBexp_2,6.8885
LBexp_3,7.1356
LBtran_1,7.2267
LBtran_2,7.0903
LBtran_3,7.2502
LBstat_1,7.2948
LBstat_2,7.6411
LBstat_3,7.6436
LBGexp_1,6.7793
LBGexp_2,6.8534
LBGexp_3,6.9528
LBGtran_2,7.3985
LBGtran_3,7.3596
LBGstat_1,7.1553
LBGstat_2,7.155
LBGstat_3,7.6658
S0_1,10.3178
S0_2,10.3151
S0_3,9.7825
S1_1,10.399
S1_2,10.8593
S1_3,9.0739
S2_1,9.3768
S2_2,9.1458
S2_3,8.6391
S3_1,9.8495
S3_2,8.3922
S4_1,8.6036
S4_2,9.0613
S4_3,7.7405
S5_1,9.7413
S5_2,8.1306
S5_3,7.898
S6_1,9.6292
S6_2,9.0519
S6_3,8.5919
S6/t_1,9.5564
S6/t_2,9.2227
S6_4,10.6715
S6_5,10.6708
S6_6,10.6302
S7_4,13.5668
S7_5,12.9988
S7_6,12.5526
S8_4,14.741
S8_5,15.5303
G135_1,7.9701
G135_3,7.9303
G150_1,7.3833
G150_2,6.9655
G150_3,7.5347
G180_1,7.2173
G180_2,6.8593
G180_3,7.4401
C30_1,9.741
C30_2,9.8475
C90_1,9.8805
C90_2,7.7437
BI_1,6.9173
BI_2,6.8507
BC_2,7.0288
BC/t_1,8.0436
BC/t_2,9.7732
BC_1,7.2066
Sw_1,7.1282
Sw_2,6.8108
BT_1,15.8431
BT_2,15.2358
B36_1,14.5509
B36_2,14.0453
B60_1,10.6748
B60_2,11.3084
M9exp_1,7.0004
M9exp_2,7.0797
M9exp_3,6.8961
M9tran_1,7.2098
M9tran_2,7.3079
M9tran_3,8.102
M9stat_1,8.145
M9stat_2,7.8709
M9stat_3,7.5512
M+G_1,9.7744
M+G_2,7.9503
M+G_3,8.5903
Glu_1,8.0639
Glu_2,7.4148
Glu_3,7.7138
Fru_1,7.3946
Fru_2,8.8565
Fru_3,7.9619
Mal_1,7.6889
Mal_2,9.9068
Mal_3,9.3799
G+S_2,12.6551
G+S_3,13.4073
Pyr_1,9.07
Pyr_2,13.5684
Pyr_3,12.9568
Gly_1,7.8123
Gly_2,8.3735
Gly_3,8.5064
Glucon_1,10.3414
Glucon_2,11.3128
Glucon_3,8.2179
aero_1,7.7521
