,A,Fnr,DcuR,NarL
R2,,0.22227691189265164,0.015868584384486573,0.014455154353203992
xmin,,-7.8525940196,-5.615037757,-3.0560450505
xmid,,-1.774079210787003,-0.9726381138030318,
xmax,,4.4171410107,1.8543397239,2.4694155805999998
ystart,,7.456176139354492,-0.21899519262527756,3.5887826285710993
yend,,-18.58892444212871,3.6130273936976143,-1.5681620141311579
aat__00m_00s__1,0.002226688,-0.0825740115,0.23064284470000002,0.0834143878
aat__00m_30s__1,0.8062469624,0.16485310350000001,0.0329173808,0.0504933555
aat__01m_00s__1,0.7789538656,0.7752711503,-0.11437236020000001,0.031696480900000004
aat__02m_00s__1,-1.7068103785000002,0.9066270852,-0.06564011730000001,-0.0029696078000000002
aat__05m_00s__1,-8.4699529781,0.95171602,-0.7312870514,-0.3118176763
aat__10m_00s__1,-9.9642321488,1.0192587317,-0.8319366143,-1.1250431231
aat__00m_00s__2,0.319064597,0.1234264677,0.09146967560000001,0.0253800388
aat__00m_30s__2,-0.134364183,0.4334180231,0.1480173834,-0.0159687598
aat__01m_00s__2,-0.5413822898,0.7979562918,0.0429753883,0.11729304230000001
aat__02m_00s__2,-3.5148619451,0.8964971719,-0.16065141100000002,-0.0645860458
aat__05m_00s__2,-9.146601048600001,0.9047534472000001,-0.2661138469,-0.4360385312
aat__10m_00s__2,-10.807068046,0.9185125141,-0.4592379801,-0.7155510694
aat__00m_00s__3,-0.32129128500000004,-0.040852456200000005,-0.32211252030000004,-0.10879442660000001
aat__00m_30s__3,-0.5157370315,0.2208704434,-0.060820017500000004,0.004012204
aat__01m_00s__3,0.7095830949,0.7920547098,-0.2582841683,0.1317350897
aat__02m_00s__3,-2.0858725951,0.8818752216,-0.0679690109,0.0470774695
aat__05m_00s__3,-8.6451295713,0.9825066807,-0.23496935970000002,-0.5255995358000001
aat__10m_00s__3,-10.0305212095,0.9444446514,-0.4307638481,-0.9168248342
abx_mega__dmso-2__1,0.5349772425,0.0403637158,0.1922030473,1.9154446272
abx_mega__ery_dmso__1,-12.2019063425,0.5459244040000001,-1.3631299185,-0.7280519322
abx_mega__nal_naoh__1,2.3081988911,-0.6791990309,-0.21337980210000002,1.1947183288
abx_mega__dmso-5__1,-1.0277682525,0.0078028844000000005,0.2310250666,0.1780909309
abx_mega__rif_dmso__1,-7.8449941001,-1.3129271236,0.7318298879,1.2955909793
abx_mega__novo_h2o__1,-4.2204748107,0.20689053170000002,-1.9669989248,-1.6319055235
abx_mega__rach_dmso__1,-2.9578588962000003,-0.045048951000000004,0.0889163053,0.4734941154
abx_mega__metro_dmso__1,-3.9523069275,0.4656249649,0.6004451327,-0.1664938681
abx_mega__dmso-6__1,-1.1355055388,-0.3784852643,0.4976346969,0.5350788069
abx_mega__chl_h2o__1,-12.3870452091,0.3019332691,-1.7765564162,-1.1516025581
abx_mega__cst_h2o__1,1.6123543343,0.0320312785,0.6867982139000001,0.2589008747
