,-0.0686738139253331,-0.04578254261688873,-0.022891271308444358,1.3877787807814457e-17,0.022891271308444386,0.04578254261688876,0.06867381392533313,0.0915650852337775,0.11445635654222187,0.13734762785066623,0.1602388991591106,0.18313017046755498,0.20602144177599935,0.22891271308444372,0.2518039843928881,0.27469525570133246,0.29758652700977684,0.3204777983182212,0.3433690696266656,0.36626034093510995
thresh,-0.08011944957955529,0.08011944957955529,6,,,,,,,,,,,,,,,,,
unreg,0,12,465,3026,354,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DcuR,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,0,3,11,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Fnr,0,1,26,152,26,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NarL and Fnr,0,1,17,53,15,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"DcuR, NarL, and Fnr",0,0,0,2,1,0,0,1,0,0,1,1,1,0,1,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
DcuR_genes,[],[],[],['pck'],[],['dctA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],[],['hyaF' 'ogt' 'hyaE'],"['yeaR' 'torA' 'yoaG' 'hyaC' 'torC' 'torD' 'hyaB' 'ydeP' 'hyaA' 'hybF'
 'hyaD']",['hybG' 'hybD' 'hybE'],['hybC'],[],[],['hybB' 'hybO'],[],['hybA'],[],[],[],[],[],[],[],[],[]
