,torS
Cr_1,-0.002375912621059711
Cr_2,-0.003563223360860397
Cr_3,-0.006783275932916675
Cr_4,-0.007963010122509245
Cr_5,-0.011049761750951995
Cr_6,-0.01515708153859039
Fe_1,-0.009499552104730724
Fe_2,-0.011159841390741849
Fe_3,-0.0046109100539831645
Fe_4,-0.00235526694474153
Fe_5,0.0024070827722412853
Fe_6,0.010349466806564437
Cd_1,0.003891473050711037
Cd_2,0.00928648333841929
Cd_3,0.0168356129976961
Cd_4,0.02325150401529197
Cd_5,0.02490009791277254
Cd_6,0.03171883244618185
Zn_1,-0.004902147188229232
Zn_2,-0.0038946602059722977
Zn_3,-0.0016498314197861855
Zn_4,0.002608044064108868
Zn_5,0.004214192891379991
Zn_6,0.006942100064097333
Cu_1,0.00787508802457365
Cu_2,0.0148917450322738
Cu_3,0.024751016138307776
Cu_4,0.03568910920374052
Cu_5,0.04516960411400277
Cu_6,0.0530639312470715
Pb_1,0.008690345289428756
Pb_2,0.01963759752197828
Pb_3,0.03530445014852482
Pb_4,0.053949180426719714
Pb_5,0.06818845524957272
Pb_6,0.08389368558357099
