,uvrY
Cr_1,-0.0009793708548624246
Cr_2,-0.002289662977526259
Cr_3,-0.003574503100718875
Cr_4,-0.00786737939306598
Cr_5,-0.013413935751130463
Cr_6,-0.02114781985167346
Fe_1,-0.0038539432508729148
Fe_2,-0.0015236842116959984
Fe_3,0.011724803696914777
Fe_4,0.03646889387635485
Fe_5,0.06095701531732891
Fe_6,0.07831034018148998
Cd_1,0.0070640110312472654
Cd_2,0.01493746618368214
Cd_3,0.023854513387880357
Cd_4,0.03299461916291989
Cd_5,0.03490653747176296
Cd_6,0.04135452845187336
Zn_1,-0.005459856209074038
Zn_2,-0.0020251456334839987
Zn_3,0.008536351303945538
Zn_4,0.023662553055135142
Zn_5,0.039076884249117344
Zn_6,0.046428741473079835
Cu_1,0.008396639070109901
Cu_2,0.020174020841020858
Cu_3,0.03328294010114538
Cu_4,0.045713982295415186
Cu_5,0.058924958222077876
Cu_6,0.06634003090036167
Pb_1,0.006286631830243605
Pb_2,0.01206132860931475
Pb_3,0.023891431805291
Pb_4,0.032951328773587384
Pb_5,0.042484725149537717
Pb_6,0.05536024145608424
