,USA300HOU_RS00975
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,2.8723861866
USA300_LAC_U01-Set001_CAMHB_Control_1,3.2121192506
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,3.2832486101000002
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,2.7320783726
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,3.4887767006
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,2.8019186073
USA300_LAC_U01-Set001_CAMHB_Control_2,3.1721898417
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,3.4966093676
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,2.2230160437
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,3.3732145371
USA300_TCH1516_U01-Set000_CAMHB_Control_1,2.3900681806
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,2.2030037687
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,2.4240974899
USA300_LAC_U01-Set001_R10LB_PreCulture_1,4.7881007131
USA300_LAC_U01-Set001_R10LB_PreCulture_2,4.5642235492
USA300_LAC_U01-Set001_R10LB_Control_1,6.1685159164
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,6.2349940519
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,5.6765124946
USA300_LAC_U01-Set001_R10LB_Control_2,6.3481637209
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,6.3604713757
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,6.05091681
USA300_TCH1516_U01-Set000_R10LB_Control_1,6.0523490591
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,5.8614543815
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,5.2224062125
USA300_TCH1516_U01-Set000_R10LB_Control_2,5.5018475966
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,5.9346581999
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,5.4718831609
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,2.9138849192
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,3.140808384
USA300_TCH1516_U01-Set000_CAMHB_Control_2,2.6141604557
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,2.3332326312
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,2.2361713489
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,2.0639060929
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,2.2598228029
USA300_LAC_U01-Set004_CAMHB_Control_1,2.6106250182
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,3.0022140752
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,2.6384534099
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,2.7672896457
USA300_LAC_U01-Set004_CAMHB_Control_2,2.9285750565
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,2.7093034696
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,3.2455834648
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,3.342681934
USA300_LAC_U01-Set004_R10LB_Control_1,5.5118381295
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,4.9580412812
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,4.5879422746
USA300_LAC_U01-Set004_R10LB_Control_2,5.4075502999000005
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,5.5444074124
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,4.9266188806999995
USA300_TCH1516_U01-Set003_CAMHB_Control_2,1.8517296908
