,A,DhaR
R2,,0.0064994129520118404
xmin,,-2.3131135915
xmid,,-1.2491443849512993
xmax,,2.0380438854999987
ystart,,-1.6291050253154151
yend,,0.05373076759697337
control__wt_glc__1,-0.1933383229585704,0.040177611499999884
control__wt_glc__2,0.1933383229585573,-0.040177611499999884
fur__wt_dpd__1,-0.87886983981166,0.22097053850000006
fur__wt_dpd__2,-1.3895035960627191,0.1273648194999999
fur__wt_fe__1,-0.0791555077084104,0.03631942250000009
fur__wt_fe__2,0.3590402884072234,-0.022672483500000062
fur__delfur_dpd__1,-0.636744966622966,0.12297373750000018
fur__delfur_dpd__2,-0.745969755843502,0.2766082275000001
fur__delfur_fe2__1,0.0197552576692024,0.4214439474999998
fur__delfur_fe2__2,0.1847860215867144,0.4657141935000016
acid__wt_ph5__1,-0.6202602630777339,0.4570832545000001
acid__wt_ph5__2,-1.095741999151889,0.40076742450000014
acid__delgadx_ph5__2,-0.5315558603086737,0.2404018815
acid__delgadw_ph5__1,-0.3093366197959194,0.3276168155000003
acid__delgadw_ph5__2,-0.5207875807977199,0.2863062175000004
acid__delgade_ph5__1,-0.5538316797085792,0.5413251975000004
acid__delgade_ph5__2,-0.3533926703197498,0.4193490325
oxidative__wt_pq__1,0.5632989613756153,0.38715197050000016
oxidative__wt_pq__2,0.7756978980994649,0.4434169374999999
oxidative__deloxyr_pq__1,-0.1488232573573568,0.5302583635000002
oxidative__deloxyr_pq__2,-0.2399030194492515,0.4679126874999997
oxidative__delsoxr_pq__1,1.026394166396116,0.1050832064999998
oxidative__delsoxr_pq__2,1.0783430847837514,-0.029505118499999924
oxidative__delsoxs_pq__1,0.7364594227934232,0.4669380555000005
oxidative__delsoxs_pq__2,1.1442376159978227,0.2611188775
nac_ntrc__wt_csn__1,-2.0777578100309197,0.3554253665
nac_ntrc__wt_csn__2,-2.0375481787441667,0.21720350249999987
nac_ntrc__wt_cytd__1,-1.165008265076119,0.2535456985000004
nac_ntrc__wt_cytd__2,-0.9404429188769172,0.1966484715000001
nac_ntrc__wt_gln__1,-1.603868370849142,0.7947019415000001
nac_ntrc__wt_gln__2,-1.14803605038868,0.5915219985000006
nac_ntrc__bw_delnac_csn__1,-4.048504246142875,0.2336956024999997
nac_ntrc__bw_delnac_csn__2,-3.108394777136994,0.2421213974999996
nac_ntrc__bw_delnac_cytd__1,-1.1516894232253372,0.2083903604999997
nac_ntrc__bw_delnac_cytd__2,-1.1683408288497474,0.26694459150000016
nac_ntrc__bw_delnac_gln__1,-1.437643072150806,0.004960885500000067
nac_ntrc__bw_delnac_gln__2,-1.604066987117779,0.19544334149999945
nac_ntrc__bw_delnac_nh4__1,0.6795181434463037,0.05558048550000017
nac_ntrc__bw_delnac_nh4__2,0.2242890973904172,0.1106060594999998
misc__wt_no_te__1,0.7396204157016694,0.6075688725000004
misc__wt_no_te__2,0.0416333795849119,0.3606987394999997
misc__bw_delcbl__1,-0.135568626162033,0.3648261595000002
misc__bw_delcbl__2,-0.0175304958617721,0.3854393344999996
misc__bw_delfabr__1,-0.3144498262809208,0.11659404149999995
misc__bw_delfabr__2,-0.5650389485770092,0.14205859550000044
misc__bw_delfadr__1,-0.2682694067160948,0.4504701744999999
misc__bw_delfadr__2,-0.2887970865725217,0.30423548950000034
misc__nitr_031__1,-0.7189633768746663,0.3402750375000001
omics__wt_glu__1,-1.3324188600897828,0.0366905205000001
omics__wt_glu__2,-1.2104220029185722,0.3670310135000015
omics__wt_gly__1,-1.1484479562177,0.26131760549999994
omics__wt_gly__2,-1.4769943632652982,-0.0987640504999998
omics__wt_thr__1,-0.0570503954805253,0.4524847524999998
omics__wt_thr__2,1.192396225771466,0.23312181249999986
omics__bw_ac__1,-7.383986376684946,0.1414907445
omics__bw_ac__2,-7.836165544949051,0.037332983499999806
omics__bw_fum__1,-7.374937026568114,0.2320543315000001
omics__bw_fum__2,-7.775009817291789,-0.030843116499999827
omics__bw_glc__1,-1.4742116208194729,0.4354802394999999
omics__bw_glc__2,-1.5500432177508157,0.4810916175000002
omics__bw_pyr__1,-7.892882194813817,0.06989195550000016
omics__bw_pyr__2,-8.6953944322349,-0.11243738149999992
ompr__wt_nacl__1,-0.8881397542528157,0.9868224835000006
ompr__wt_nacl__2,-0.8831412615430244,1.0429024705
ompr__bw_delompr_nacl__1,-1.2582914514905958,1.2059413094999996
ompr__bw_delompr_nacl__2,-1.8150184287732989,1.3857506144999996
minspan__wt_ade__1,-1.1251586277051029,0.3203840794999997
minspan__wt_glc__2,-0.0117838418618809,-0.04236662349999998
minspan__wt_glc__3,0.5169359926282878,-0.042443281500000214
minspan__wt_glc__4,0.4250030680326074,-0.0966953825000001
minspan__wt_glc_anaero__1,1.0836620713576548,-0.005978594500000156
minspan__wt_glc_anaero__2,0.4075771724816636,0.13997288350000006
minspan__wt_trp__1,5.319359153613996,-0.19579398850000015
minspan__bw_delcra_glc__2,1.0452286542466656,0.2855049744999998
minspan__bw_delcra_trp__1,1.419637504171631,0.3066994495000004
minspan__bw_delmntr__1,4.825771537886648,0.059193287499999865
minspan__bw_delnac_ade__1,-0.1425970900711503,-0.0015169214999999348
minspan__bw_delnac_glc__1,-3.05122762793114,0.18274654649999844
cra_crp__wt_ac__1,-8.076284714969253,-0.2921322035
cra_crp__wt_ac__2,-8.229950560307193,-0.22131037250000007
cra_crp__wt_fru__1,-3.591510544493117,0.10154745949999988
cra_crp__wt_fru__2,-3.782357647210122,0.25870629450000004
cra_crp__delcra_ac__1,-8.155355566382246,-0.11695475949999999
cra_crp__delcra_ac__2,-8.019820441944663,0.21704070850000035
cra_crp__delcra_fru__1,-2.5080073248072425,0.3664189075000004
cra_crp__delcra_fru__2,-2.539410394811261,0.5133225774999999
cra_crp__delcra_glc__1,-1.041772340760529,0.2654706274999996
cra_crp__delcra_glc__2,-1.269060477693626,0.2591550985000004
rpoB__wt_031__1,-3.4181476055480053,0.19188839549999992
rpoB__wt_044__1,-1.3261846905100934,0.24568657550000014
rpoB__wt_lb__1,-4.742098156088766,0.2877024035000004
rpoB__wt_lb__2,-4.807598117041061,0.009843241500000044
rpoB__rpoBE546V_031__1,-2.0703408916858552,0.3105932355000003
rpoB__rpoBE546V_044__1,-1.6838312861412077,0.03006189250000002
rpoB__rpoBE546V_lb__1,-4.007717063592394,0.5729676214999997
rpoB__rpoBE546V_lb__2,-4.55589472547896,0.6286268544999998
rpoB__rpoBE546V_glc__1,-0.5667790889370876,0.28132324050000035
rpoB__rpoBE672K_glc__1,-0.2628801785762028,-0.3425375214999997
rpoB__rpoBE672K_glc__2,-1.3761502492547406,-0.30924065050000005
rpoB__rpoBE672K_lb__1,-6.986375935715866,-0.8376783085000001
rpoB__rpoBE672K_lb__2,-7.046466459217339,-0.9284623774999998
crp__wt_fru__1,-3.684990680521437,-0.24190581349999984
crp__wt_glyc__1,-4.500122322193442,-0.3381614984999999
crp__wt_glyc__2,-4.847430793525112,-0.4049966034999999
crp__delar1_glyc__1,-3.1751819370343264,-0.11762750950000013
crp__delar1_glyc__2,-3.329568665519163,-0.12518195750000016
crp__delar1ar2_glyc__1,-1.658728716246745,0.10203386950000004
crp__delar1ar2_glyc__2,-1.7444072805249569,0.3204827775000001
crp__delar1ar2_glyc__3,-1.5008181129092353,0.2142462685000015
crp__delar2_glyc__1,-0.2121966679836625,0.2076832584999999
crp__delar2_glyc__2,-0.2850568118608783,0.3309047624999999
crp__delar2_glyc__3,-0.16626755069798,0.10835826849999997
crp__delcrp_fru__1,-2.9606445492788125,0.2001740745
