,SP5448_02030
SRX1726505,-0.0504480338
SRX1726506,0.1654126309
SRX1726507,-0.11496459710000001
SRX1726508,-0.44770441110000003
SRX1726509,-0.5579852727
SRX1726510,-0.206327793
SRX1726511,-1.2504402376
SRX1726512,-1.2134138012
SRX1726513,-0.7990511271
SRX1081650,0.2889319059
SRX1081651,0.3582920336
SRX1081652,-0.2904277665
SRX1081653,0.0308502972
SRX1081654,0.1719895102
SRX1081655,-0.3247252288
SRX1081656,0.1358724128
SRX1081657,-0.2376701349
SRX1081658,-0.3580817197
SRX1081659,0.3891846237
SRX1081660,0.1135588943
SRX1081661,0.0142277888
SRX1081662,-0.05268106400000001
SRX1081663,-0.11359197600000001
SRX1081664,-0.2009924384
SRX1081665,0.3392779587
SRX1081666,0.2445987097
SRX1081668,-0.1904992091
SRX1081669,-0.0480681458
SRX1081670,-0.2236065798
SRX1081671,-0.0464398719
SRX1081672,-0.5563811499
SRX1081673,-1.0866028269
SRX1081674,-0.9700542777000001
SRX1081675,-0.4661545174
SRX1081676,-0.4478077432
SRX1081677,-0.497001354
SRX1081678,-0.042163694200000004
SRX1081679,-0.8177411971
SRX1081680,-0.6126152112000001
SRX1081681,-0.0670931912
SRX1081682,-0.2144649713
SRX1081683,-0.9733004190000001
SRX1081684,-0.5226429253
SRX1081685,-0.9669006179
SRX1081686,-0.6175101141
SRX1081687,-0.8265589909000001
SRX1081688,-1.4656230815
SRX1081689,-0.9036338612
SRX1081690,-0.4083064054
SRX1081691,-0.210759464
SRX1081692,-0.618836479
SRX1962715,-0.0383553086
SRX1962716,0.0933892442
SRX1962717,-0.0550339356
SRX1962718,0.7524141609
SRX1962719,0.3264647516
SRX1962720,0.4401274408
SRX1962721,0.4132679768
SRX4892146,-0.0704081989
SRX4892147,-0.0190186219
SRX4892148,-0.012298113500000001
SRX4892149,0.1017249342
SRX4892150,0.0612359436
SRX4892151,-0.0079937306
SRX4892152,0.0211202236
SRX4892153,0.0815274993
SRX4892154,0.0224865471
SRX4892155,-0.1418404165
SRX4892156,0.0429218145
SRX4892157,-0.0388758481
SRX4892158,0.049273841900000004
SRX4892159,0.074386427
SRX4892160,-0.0061920576
SRX4892161,0.0080766506
SRX7620814,0.0023805553
SRX7620815,-0.185331335
SRX7620816,-0.1313289008
SRX7620817,-0.47650440530000004
SRX7620818,-0.4677761174
SRX7620819,-0.5673926638
SRX7620856,-0.4389305564
SRX7620857,-1.3168314833
SRX7620858,0.182281024
SRX7620859,-0.9764033615000001
SRX7620860,-0.4464935122
SRX7620861,-1.0731340817
SRX7620862,-0.36507473020000003
SRX7620863,-0.601120061
SRX7620864,0.1953266335
SRX7620865,-0.7341088576
SRX7620866,0.4840277773
SRX7620867,-0.2297556254
SRX2161502,0.0195940941
SRX2161503,0.009283362100000001
SRX2161504,-0.028877456200000002
SRX2161505,-0.39855005060000004
SRX2161506,-0.3652110692
SRX2161507,-0.4145590544
SRX2161508,0.3297644925
SRX2161509,0.3339119574
SRX2161510,0.4164196466
SRX2161511,0.22232116270000002
SRX2161512,0.216303812
SRX2161513,0.1081290044
SRX2161514,0.0159745884
SRX2161515,-0.1014811282
SRX2161516,0.0899459339
SRX2161517,-0.2966096185
SRX2161518,-0.1769767191
SRX2161519,-0.1813258069
SRX2161520,0.7382688292
SRX2161521,0.4248101864
SRX2161522,0.6254867008
SRX2161523,0.7221030305
SRX2161524,0.48530838540000004
SRX2161525,0.40855499030000003
