,ttdA
Cr_1,-9.658725646934355e-05
Cr_2,0.012645573223284315
Cr_3,0.02367045104259596
Cr_4,0.03858886799573023
Cr_5,0.050359585457049515
Cr_6,0.05220515424672336
Fe_1,-0.0028960282009712762
Fe_2,-0.01833489579629411
Fe_3,-0.02323223502790781
Fe_4,-0.02045511884256394
Fe_5,-0.0017368548494494825
Fe_6,0.007769569245306628
Cd_1,-8.652026578025424e-05
Cd_2,0.0062488701596668745
Cd_3,0.009144968882160728
Cd_4,0.01234251100319791
Cd_5,0.015771269023500813
Cd_6,0.019779116154571032
Zn_1,0.002125858712439053
Zn_2,0.018267772232629355
Zn_3,0.03882574977013718
Zn_4,0.05185860715836395
Zn_5,0.0666539120211896
Zn_6,0.07279646718414892
Cu_1,-0.012272432964592805
Cu_2,-0.011496519404313071
Cu_3,-0.00706156714695523
Cu_4,-0.010153868104411332
Cu_5,-0.005311191834204917
Cu_6,-0.0038323221693390384
Pb_1,0.001031293084747404
Pb_2,0.003621299586938981
Pb_3,0.0051947776054615995
Pb_4,0.0181454316144558
Pb_5,0.022842245445704283
Pb_6,0.01844393721943804
