,yeaU
Cr_1,0.000513384720624133
Cr_2,0.0075155763930762785
Cr_3,0.015003716412181315
Cr_4,0.0262906607365635
Cr_5,0.025704843467175848
Cr_6,0.021949024413676063
Fe_1,-0.012660971590600369
Fe_2,-0.02847122612111375
Fe_3,-0.04336118036350888
Fe_4,-0.05880735023294487
Fe_5,-0.0695234514281727
Fe_6,-0.07488672608062781
Cd_1,-0.013774924089303857
Cd_2,-0.0031273920299579785
Cd_3,0.022716849592589308
Cd_4,0.03238394066741741
Cd_5,0.0163452659651645
Cd_6,0.009776626656909893
Zn_1,-0.01209967986081238
Zn_2,-0.023730321516177683
Zn_3,-0.02011672550158084
Zn_4,-0.013455260671621307
Zn_5,-0.0025288590575865185
Zn_6,0.0090211291136809
Cu_1,0.0009778670381296417
Cu_2,-0.0055267137388147
Cu_3,-0.010845658822126021
Cu_4,-0.017193197420693942
Cu_5,-0.021062577222103473
Cu_6,-0.027358450262418198
Pb_1,0.007432771725191266
Pb_2,0.013306243819726123
Pb_3,0.011095190917556369
Pb_4,0.00574682304082715
Pb_5,0.006874002372418238
Pb_6,0.012653927327927276
