,phnL
Cr_1,-0.016171866383203483
Cr_2,-0.027078456506474658
Cr_3,-0.01753706419179373
Cr_4,-0.003587835721712413
Cr_5,0.004877449032307924
Cr_6,0.000477423558642193
Fe_1,-0.012811777500213695
Fe_2,-0.0339485812195806
Fe_3,-0.05226956816995268
Fe_4,-0.0727484377007715
Fe_5,-0.06717365606261917
Fe_6,-0.05967020050780044
Cd_1,-0.0009631347921070084
Cd_2,0.00030503973464630733
Cd_3,0.006020324354083832
Cd_4,0.016919270709912008
Cd_5,0.017774082562743945
Cd_6,0.0228275701042457
Zn_1,-0.0045485727376542604
Zn_2,-0.021777227578407072
Zn_3,-0.010858403810859856
Zn_4,-0.010792512925105831
Zn_5,-0.018872639721814823
Zn_6,-0.019820555596338413
Cu_1,0.009673350071444814
Cu_2,0.0145448478758957
Cu_3,0.014144414365380385
Cu_4,0.011429160970726802
Cu_5,0.013736709275369236
Cu_6,0.016201109927025427
Pb_1,0.015706824296144332
Pb_2,0.02286291834900594
Pb_3,0.014540096638791994
Pb_4,0.021250108216902125
Pb_5,0.04014332483227703
Pb_6,0.051823463852631854
