,A,MntR
R2,,0.11252874696609838
xmin,,-2.5370295298499177
xmid,,
xmax,,1.0381224228847843
ystart,,8.569896158119768
yend,,-1.3298962985902065
SRX8138083,-1.400418994064473,-0.037696021375355215
SRX8138084,-0.3811927182656128,-0.10574927245708388
SRX8138085,1.781611712330023,0.1434452938324391
SRX8138086,-0.7903445233567008,-0.14359589958806573
SRX8138087,0.8759262743786352,0.3591570611562531
SRX8138088,2.3780362621698954,0.5410189881459111
ERX4111143,-0.5215264260046408,0.10783116628955723
ERX4111144,-1.0543089579032467,-0.0039380766145704635
ERX4111145,1.2254827690122447,0.02780466156180061
ERX4111146,1.2871703160179104,0.09065110592570846
ERX4111148,-0.44497408990641946,0.1288136884166029
ERX4111149,1.1339168894782519,0.12830367655308986
ERX4111150,0.9335966087844236,0.03998317662817996
ERX4111151,0.5215264260046423,-0.10783116628955547
ERX4111152,-0.5065300306649309,-0.14277027773480988
ERX4111153,1.0907747131447347,0.04339988222185909
ERX4111154,0.9733731252365936,0.05819444470597901
ERX4111156,-0.19162397039002224,-0.2120648649501664
ERX4111157,1.002509085001528,0.09684040818453887
ERX4111158,0.6119739606599864,0.07850521886373585
SRX5577041,0.5594682211536098,0.011614724394666707
SRX5577042,-0.3466234581118232,0.004748495833721833
SRX5577043,-0.6958690155077845,-0.006441463472480535
SRX5577044,0.4830242524660269,-0.00992175675591156
SRX5577045,-1.1825028480448787,-0.3756353769613288
SRX5577046,0.3793931520440909,-0.5082836406433255
SRX5577047,1.331714369990045,-0.4451925079086347
SRX5577048,1.3878979191432852,-0.627072371332094
SRX5577049,3.5227827099658624,-1.2787001128921531
SRX5577050,2.2941517224586674,-1.2931163763042657
SRX5577051,5.8910633776484875,-1.6385329880619777
SRX5577052,6.571376852544257,-1.5318351562595032
SRX5577053,6.737639967117914,-0.9088173348241444
SRX5577054,3.3109539361494433,-0.7003626168530541
SRX5577055,7.2925186176536165,-0.9058983940796494
SRX5577056,4.129594595186649,-0.7064601735924612
SRX5577057,5.4592971104354575,-0.4989655304286202
SRX5577058,3.4180057600628144,-0.9957697100367682
SRX5577059,3.0461118926075184,-0.6582528910431833
SRX5577060,4.4091991679262446,-0.8320200181520967
SRX5577061,9.725327715787929,-1.3122523562060897
SRX5577062,7.1283733888935314,-1.2705636827235285
SRX5577063,8.210423909427996,-1.1770061839086203
SRX5577064,7.7056509620949925,-1.064679115093849
SRX5577065,10.705305048393793,-0.9789587630192268
SRX5577066,10.087882884772648,-1.1057422839171205
SRX5577067,10.642406669887347,-1.3306457469249595
SRX5577068,10.706920928145676,-1.2441319782572524
SRX533166,0.8105936014620662,-0.1987799992030084
SRX533171,-0.8105936014620665,0.1987799992030066
SRX533786,2.1429966802239013,-0.2470156884454351
SRX533787,-0.7122581699348621,0.08999725681125881
SRX533789,2.5317724793908134,-0.24987088722553885
SRX533791,-0.6676997313680649,0.2730581022962859
SRX533792,3.0864988864716034,-0.3092880004253775
SRX533793,0.24497972862863995,0.1827177067091004
SRX533794,-0.9012432003804116,0.23792529266226656
SRX533795,-1.2535272908562969,0.2145573480222307
SRX4703435,-0.8012871288919992,0.2299853687685465
SRX4703436,-0.14138506741007412,0.16877674900251893
SRX4703437,0.9426721963020916,-0.3987621177710663
SRX4703438,-9.497764640776914,-0.7318863271566727
SRX4703439,-10.749330449339604,-0.0641189118840888
SRX4703440,-10.863951123273218,0.08293288551868105
SRX6902408,-0.12571972536146647,0.12975857706198826
SRX6902409,0.7401589013072677,0.26159811792110155
SRX6902410,0.4853094171295291,0.16263010790775034
SRX6902411,-2.033646141101827,0.8935618479377041
SRX6902412,-3.761745603307716,0.8612837299740104
SRX6902413,-1.692002001900444,0.9780232791273118
SRX6902414,-0.029105200274506186,0.09933196970838763
SRX6902415,0.02910520027449529,-0.09933196970838852
SRX5278698,0.2300037708347132,-0.0009979500699897061
SRX5278699,-0.5999796736890983,0.17232653127340836
SRX5278700,0.36997590285437787,-0.17132858120341776
SRX5278701,-0.9946382568406732,0.3117770533298412
SRX5278702,0.5127316326519783,0.5714970656121041
SRX5278703,4.499581653146116,0.3072690048915767
SRX5278704,3.13723124660294,-1.5762108779539536
SRX5278705,3.238966664493065,-2.3504707099578552
SRX5278707,6.204230221592788,-0.3960757825412236
SRX5278708,5.313696736551687,-0.004219653762643993
SRX5278709,4.924392146281367,0.3629300066914967
SRX5278710,2.874897244182041,-0.4448254120275879
SRX5278711,3.103797725629054,0.013894029008244324
