,-0.09235076572862082,-0.07555971741432613,-0.05876866910003144,-0.04197762078573675,-0.025186572471442056,-0.008395524157147366,0.008395524157147324,0.025186572471442015,0.041977620785736705,0.05876866910003138,0.07555971741432609,0.09235076572862079,0.10914181404291547,0.12593286235721013,0.14272391067150486,0.15951495898579954,0.17630600730009421,0.1930970556143889,0.20988810392868357,0.2266791522429783
thresh,-0.10074628988576817,0.10074628988576817,2,,,,,,,,,,,,,,,,,
unreg,0,2,12,38,288,1814,1838,286,32,6,2,0,0,0,0,0,0,0,0,0
MntR,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
MntR_genes,[],[],['mneP' 'mneS'],[],[],[],[],[],[],[],[],[],[],['mntH'],[],['mntD'],[],['mntC' 'mntA'],['mntB'],[]
