,glcB
Cr_1,0.005436072521097465
Cr_2,0.014553652334287197
Cr_3,0.031992990771912234
Cr_4,0.03225167882249892
Cr_5,0.04535882161728647
Cr_6,0.05628379481660373
Fe_1,-0.01455756032736203
Fe_2,-0.030449529046756105
Fe_3,-0.02981341989639869
Fe_4,-0.04840213155324802
Fe_5,-0.04436872091832867
Fe_6,-0.038040636346736184
Cd_1,0.005686667039849472
Cd_2,0.022012050713930642
Cd_3,0.03826996827380134
Cd_4,0.030536073604379224
Cd_5,0.039836774590859436
Cd_6,0.03807153346902432
Zn_1,-0.003538823113409354
Zn_2,0.006329090762232448
Zn_3,-0.004187712849524828
Zn_4,-0.016384656580959767
Zn_5,-0.02102030637703765
Zn_6,-0.01619156423954317
Cu_1,-0.002144373667967385
Cu_2,-0.0024101074740884372
Cu_3,0.001660893815771121
Cu_4,0.006762415536634455
Cu_5,-0.0008878987792278654
Cu_6,-0.004322469890525579
Pb_1,-0.0029427728576007753
Pb_2,-0.002469696631974432
Pb_3,0.0024608884941271568
Pb_4,0.01299570834322541
Pb_5,0.02439930955286684
Pb_6,0.02569411812538541
