,A,LacR
R2,,0.10073210245626807
xmin,,5.6614188639
xmid,,
xmax,,8.0253238369
ystart,,-1.3459889944378176
yend,,-10.500955783016284
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,0.43996739500000004,6.1607999351
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.712348247,6.9847285664
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-0.094212733,6.8310546816
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-0.067904088,6.7078635131
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-1.039851917,6.7869391079
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,0.065701829,6.0464054958
USA300_LAC_U01-Set001_CAMHB_Control_2,0.712348247,6.7474047938
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,0.403758714,6.9052123640000005
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,0.263237369,6.565531775
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-1.5107687539999999,7.0258255079
USA300_TCH1516_U01-Set000_CAMHB_Control_1,0.033515171,6.8670299431
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.5731570490000001,6.5417927815
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-0.862147922,6.873514211
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-10.58317394,7.0540610567
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-10.70251168,6.85888501
USA300_LAC_U01-Set001_R10LB_Control_1,-10.32106573,7.177339089
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-9.610925881,7.1895367379
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-9.799701272,7.084278097
USA300_LAC_U01-Set001_R10LB_Control_2,-9.154111101,7.1814045034
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-10.06311808,7.0856556519
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-9.453597472,7.1124773416
USA300_TCH1516_U01-Set000_R10LB_Control_1,-14.67360712,7.087928347
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-13.85927686,7.0928345859
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-11.88284593,6.9623606030000005
USA300_TCH1516_U01-Set000_R10LB_Control_2,-14.220316,7.0927908151
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-13.66866002,7.1354456487
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-14.19959002,7.102122462
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-3.12983194,6.1804893979
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-4.072263822,5.9725693201
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-0.033515171,6.810816713
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,1.19787228,6.8342630572
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-0.214086828,6.5812147716
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-1.473714013,6.5457600257
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-1.2967220670000001,6.6221242529
USA300_LAC_U01-Set004_CAMHB_Control_1,-3.048011447,7.1097381626
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-2.7614495850000003,7.0327799529
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-2.669078196,7.2429165328
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-8.272458788,6.7740872996
USA300_LAC_U01-Set004_CAMHB_Control_2,-3.431823403,7.2680044677
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-2.4359412860000003,7.0791167041
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-2.933783474,7.0030513919
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-5.5872601060000004,6.7959775506
USA300_LAC_U01-Set004_R10LB_Control_1,-9.599022706,7.2250314228
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,-9.394259731,7.3652109899
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-10.39969697,7.2428199324
USA300_LAC_U01-Set004_R10LB_Control_2,-10.74447078,7.3903844765
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,-8.788137462,7.4308672206
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-8.324266408,7.2254234439000005
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-0.060201774000000007,6.2410042377
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-0.68313552,6.1527063058
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,1.3838026490000002,6.3445281452
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,-0.44369740700000004,6.1115841643
USA300_TCH1516_U01-Set003_CAMHB_Control_3,0.142555864,6.1706417741
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,0.326716119,5.9898843328
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,1.498983068,5.9727716918
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,0.46911271200000004,6.0701140019
USA300_LAC_ICA-Set001_R10LB_Control_1,-11.52982687,7.3855767816
USA300_LAC_ICA-Set001_R10LB_Control_2,-10.6773602,7.2496702643
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-11.15745126,7.1167039042
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-11.37371195,7.0192829633
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-9.817501378,7.3428989094
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-11.13605559,7.2983248906
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-10.78562325,7.3955903325
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-10.78255646,7.303411045
USA300_TCH1516_BK-Set001_THB_Control_1,-8.015233283,5.6614188639
USA300_TCH1516_BK-Set001_THB_Control_2,-11.87589727,6.3518197023
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-14.02904253,5.8905524415
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-14.40443907,6.0460320621
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-11.656457660000001,6.6272090367
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-10.84840345,6.7785934842
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-9.424350535,6.8118550269
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-10.39382001,6.3030808835
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-5.274642943,6.7062383479
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-4.752937793,6.7443625172
