locus,gene_weight,gene_name,gene_product,COG,operon,regulator,LacR,link
USA300HOU_RS11875,0.288175256,lacF,lactose-specific phosphotransferase enzyme IIA component,Carbohydrate transport and metabolism,"lacG,lacE,lacF,lacD,lacC",LacR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005587000
USA300HOU_RS11885,0.285696463,lacC,tagatose-6-phosphate kinase,Carbohydrate transport and metabolism,"lacG,lacE,lacF,lacD,lacC",LacR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005589000
USA300HOU_RS11880,0.271618004,lacD,"tagatose 1,6-diphosphate aldolase",Carbohydrate transport and metabolism,"lacG,lacE,lacF,lacD,lacC",LacR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005588000
USA300HOU_RS11870,0.261426145,lacE,PTS lactose EIICB component,Carbohydrate transport and metabolism,"lacG,lacE,lacF,lacD,lacC",LacR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005586000
USA300HOU_RS11865,0.258929377,lacG,6-phospho-beta-galactosidase,Carbohydrate transport and metabolism,"lacG,lacE,lacF,lacD,lacC",LacR,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005585000
USA300HOU_RS15510,0.21536090300000002,USA300HOU_RS15510,hypothetical protein,No COG category,,,False,
USA300HOU_RS10505,0.089681968,USA300HOU_RS10505,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005001000
USA300HOU_RS05900,-0.087577875,USA300HOU_RS05900,hemolytic protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003441000
USA300HOU_RS10510,-0.089325636,USA300HOU_RS10510,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005003000
