,A,NtrC
R2,,0.7428177969386286
xmin,,-2.3033844477
xmid,,-1.3878510575673493
xmax,,2.2694771361
ystart,,-8.23465669048571
yend,,14.12116529971201
algU_regulon__empty_vector__1.0,0.6530177063,0.0606841186
algU_regulon__algU_overexpression__1.0,-7.4958361142,-0.2254922355
algU_regulon__empty_vector__2.0,-1.3055362253,-0.128169804
algU_regulon__algU_overexpression__2.0,-7.6688831703,-0.6374896657
algU_regulon__empty_vector__3.0,0.6525185189,0.06748568540000001
algU_regulon__algU_overexpression__3.0,-6.2498838778,0.054986051200000004
co_culture__c_viol_40__1.0,-2.0048567002,-0.3737277679
co_culture__c_viol_12.5__1.0,-4.2991132593,-0.7316031357
co_culture__b_thai_30__1.0,2.4306305003,0.25144658810000003
co_culture__b_thai_25__1.0,5.1110502676,0.4886468088
co_culture__mono_30__1.0,-1.4907249051,-0.12882310800000002
co_culture__b_thai_12.5__1.0,7.5890359715999995,1.2639555444
co_culture__b_thai_35__1.0,1.6688738550000002,-0.021415025900000002
co_culture__mono_25__1.0,-2.2194252297,-0.3779970252
co_culture__c_viol_30__1.0,-1.9404551704,-0.452887183
co_culture__c_viol_35__1.0,-3.4426252178,-0.6704045464
co_culture__b_thai_40__1.0,-0.25035099050000004,-0.2775750171
co_culture__b_thai_45__1.0,-3.0057416879,-0.7129648803
co_culture__b_thai_c_viol_40__1.0,-4.4503188837,-0.6496119739
co_culture__mono_35__1.0,-0.7295658997000001,0.0951145246
co_culture__c_viol_40__2.0,-1.6536284065,-0.18788099700000002
co_culture__b_thai_c_viol_45__1.0,-5.3170111841,-0.9382566671
co_culture__b_thai_25__2.0,0.5898901516,-0.12204402980000001
co_culture__c_viol_25__1.0,-2.0377110287,-0.1932997202
co_culture__mono_45__1.0,4.5569141367,0.4962357281
co_culture__b_thai_c_viol_40__2.0,-8.515754201,-1.803716598
co_culture__mono_30__2.0,3.6819529262,0.6387158536
co_culture__mono_40__1.0,-1.5134151923,-0.3102744267
co_culture__mono_35__2.0,7.234923896,0.9340576147
co_culture__mono_45__2.0,-1.0841304352,0.00425512
co_culture__b_thai_c_viol_35__1.0,-5.2315614818,-1.1100204276
co_culture__mono_40__2.0,-4.4798142533,-0.40685551210000004
co_culture__b_thai_c_viol_35__2.0,-5.5287457477,-1.3898097907
co_culture__c_viol_12.5__2.0,-1.3161285550000001,-0.44730802550000004
co_culture__b_thai_c_viol_45__2.0,-8.3027544875,-1.654395142
co_culture__b_thai_c_viol_25__1.0,0.6153529748000001,0.09561925560000001
co_culture__b_thai_c_viol_30__1.0,-3.6752144877,-0.8509760111
co_culture__mono_12.5__1.0,0.0278121937,-0.0055524745000000006
co_culture__mono_25__2.0,-0.061168803800000005,-0.0874467043
co_culture__c_viol_45__1.0,1.5955114098,-0.0162592462
co_culture__c_viol_40__3.0,-2.090706222,-0.3644773043
co_culture__c_viol_30__2.0,-1.8348957611999999,-0.3751764931
co_culture__c_viol_25__2.0,-2.6840558998,-0.39920012790000003
co_culture__c_viol_45__2.0,-0.4842724259,-0.2420677511
co_culture__b_thai_c_viol_30__2.0,18.8035825894,1.6990039075
co_culture__b_thai_c_viol_45__3.0,-0.2075504176,-0.6162673076
co_culture__mono_12.5__2.0,-0.5530096127,-0.16508670490000002
co_culture__b_thai_c_viol_12.5__1.0,-5.4667922915,-1.4679988048000001
co_culture__b_thai_35__2.0,-0.0561640578,-0.1352521691
co_culture__b_thai_25__3.0,-1.0785882231,0.6907629289
co_culture__b_thai_45__2.0,2.4997223007000002,-0.0217919299
