,lexA
Cr_1,-0.014493592968830947
Cr_2,-0.013579474349066024
Cr_3,0.011583136049833758
Cr_4,0.07392558894210102
Cr_5,0.09166635469340056
Cr_6,0.0943932602822949
Fe_1,-0.1755418987840246
Fe_2,-0.2785541442290169
Fe_3,-0.2606939290947154
Fe_4,-0.2345400226699524
Fe_5,-0.2165309317443152
Fe_6,-0.2132924295888965
Cd_1,0.012138782218773837
Cd_2,0.019208027735310218
Cd_3,0.02736385815196511
Cd_4,0.034447351988728316
Cd_5,0.04061498441265565
Cd_6,0.050057578708561715
Zn_1,0.0020741795272267672
Zn_2,0.0009477430185770212
Zn_3,0.01919908640412413
Zn_4,0.036999914574934636
Zn_5,0.0474876011974326
Zn_6,0.059781664203642025
Cu_1,0.01167247726414691
Cu_2,0.02428576175789032
Cu_3,0.040750495572361205
Cu_4,0.05743810533640964
Cu_5,0.07645625527696846
Cu_6,0.09665563255950516
Pb_1,0.008071585269953049
Pb_2,0.0522267257128914
Pb_3,0.1041563435277644
Pb_4,0.16708304870652702
Pb_5,0.16690070492606374
Pb_6,0.12755431133984604
