,-0.23452516509665375,-0.20520951945957203,-0.1758938738224903,-0.14657822818540858,-0.11726258254832686,-0.08794693691124514,-0.058631291274163416,-0.029315645637081694,2.7755575615628914e-17,0.02931564563708175,0.05863129127416347,0.0879469369112452,0.11726258254832692,0.14657822818540864,0.17589387382249036,0.20520951945957208,0.2345251650966538,0.26384081073373555,0.2931564563708172,0.3224721020078989
thresh,-0.16123605100394944,0.16123605100394944,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,6,23,330,1596,314,19,3,0,0,0,0,1,2,1,0
unreg_genes,['Saci_0384'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['hmgA'],['Saci_1360' 'acaB1'],['mvaS'],[]
