,pspB
Cr_1,0.004285919092610661
Cr_2,0.009655109410196587
Cr_3,0.0068424309328871035
Cr_4,0.009900873784717606
Cr_5,0.010500773827363993
Cr_6,-0.001793708618536442
Fe_1,-0.01582843960478741
Fe_2,-0.037507547537815815
Fe_3,-0.053306166363049926
Fe_4,-0.06725670945561077
Fe_5,-0.06546467646010556
Fe_6,-0.07448147434415132
Cd_1,-0.0028431574355856637
Cd_2,-0.0037160166429582725
Cd_3,-0.001964261756144595
Cd_4,0.0007931541219830237
Cd_5,0.0048001891716965535
Cd_6,0.020003523201606685
Zn_1,-0.0018115894478748587
Zn_2,-0.004325697110538414
Zn_3,-0.020215301726505663
Zn_4,-0.03171552816449539
Zn_5,-0.03367860407486638
Zn_6,-0.0328917613697702
Cu_1,0.005786749772959621
Cu_2,0.012468632904715986
Cu_3,0.0188644044822914
Cu_4,0.02884149531181612
Cu_5,0.04236247158938307
Cu_6,0.0498590537188493
Pb_1,0.0006109899589759072
Pb_2,0.003280876925757815
Pb_3,0.009605925688784574
Pb_4,0.014890136619520709
Pb_5,0.019998696905396813
Pb_6,0.025617262423001733
