,-0.332473884734,-0.29922649626060005,-0.2659791077872001,-0.2327317193138001,-0.19948433084040013,-0.16623694236700015,-0.13298955389360018,-0.0997421654202002,-0.06649477694680023,-0.03324738847340025,-2.7755575615628914e-16,0.0332473884733997,0.06649477694679967,0.09974216542019965,0.13298955389359962,0.1662369423669996,0.19948433084039957,0.2327317193137995,0.2659791077871995,0.29922649626059955
thresh,-0.0831184711835,0.0831184711835,4,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,1,1,11,236,3429,208,11,1,0,0,0,0,0,0
IclR,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
FadR,1,0,0,0,0,0,1,0,0,1,9,1,1,0,1,3,2,1,0,0
IclR and FadR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],['borD'],['fliQ'],[],[],[],[],[],['fabR'],[],[],[],[],[],[]
IclR_genes,[],[],[],[],[],[],[],[],[],[],[],[],['aceB' 'aceK'],['aceA'],[],[],[],[],[],[]
FadR_genes,['fadR'],[],[],[],[],[],['fabA'],[],[],['fabB'],['fabH' 'fabG' 'accA' 'fabD' 'accD' 'fabI' 'accB' 'accC' 'uspA'],['fadL'],['fadD'],[],['fadH'],['fadJ' 'fadI' 'fadM'],['fadA' 'fadB'],['fadE'],[],[]
IclR and FadR_genes,[],[],[],[],[],[],[],[],['iclR'],[],[],[],[],[],[],[],[],[],[],[]
