,A,FadR,IclR
R2,,0.22770926369313482,0.030641015589337406
xmin,,0.0,5.2632656919
xmid,,,
xmax,,8.3605356756,8.52883441
ystart,,16.551412251122773,1.7594488674637567
yend,,-3.615410877710751,-2.3562567579052835
control__wt_glc__1,-0.256788832,7.2509607036,7.6279121966
control__wt_glc__2,0.256788832,7.0649260251,7.6887269347
fur__wt_dpd__1,2.2871670796,6.6346230673,6.7701961655
fur__wt_dpd__2,2.1365298085,6.5489835881000005,6.6728033188
fur__wt_fe__1,-1.2663708688,6.9382124242,7.2886882279
fur__wt_fe__2,-0.9725938381,6.714520117,7.2199008829
fur__delfur_dpd__1,1.942306709,6.8355665816,7.2205193006
fur__delfur_dpd__2,1.063047567,6.7546679108,6.8602071929
fur__delfur_fe2__1,-1.4041313637,6.708313943,7.1459610433
fur__delfur_fe2__2,-1.7523070508,6.7823401924,7.1845009265
acid__wt_ph5__1,-1.020197142,6.8311478258000005,7.3646850438
acid__wt_ph5__2,-0.7986785103,6.9568831787,7.2298664175
acid__delgadx_ph5__1,-1.2574008799,6.9334525214,7.2736781661
acid__delgadx_ph5__2,-0.4833756735,6.8238924535,6.9847102635
acid__delgadw_ph5__1,-0.3205880555,6.7851373209,7.1245119467
acid__delgadw_ph5__2,-0.7259897146000001,6.9319253917,7.3374578863
acid__delgade_ph5__1,-0.8489595529,6.8655769862,7.2303950082
acid__delgade_ph5__2,-0.9130689394,7.0043962731,7.3095290752
oxidative__wt_pq__1,5.3136204846,6.3048105867,6.0895347807
oxidative__wt_pq__2,5.4967497722,6.5390379028,6.3722988286
oxidative__deloxyr_pq__1,3.5033842743,7.0996716985,7.0664621103
oxidative__deloxyr_pq__2,3.6569304962,7.0035363637,6.7943055365
oxidative__delsoxr_pq__1,3.9561876274000003,6.7028408153,6.1921300563
oxidative__delsoxr_pq__2,4.7127979613,6.733773776,6.2145073693
oxidative__delsoxs_pq__1,4.2935849853,6.5703334981,6.7105883092
oxidative__delsoxs_pq__2,4.8307552754,6.633414087,6.4267106659
nac_ntrc__wt_csn__1,2.4663203996,6.9054404224,7.2450241618
nac_ntrc__wt_csn__2,2.8418654393000002,6.8254643818,7.4358673707000005
nac_ntrc__wt_cytd__1,-0.37983175750000003,6.8934229028,7.3586525161
nac_ntrc__wt_cytd__2,0.1120488807,6.9530320103,7.232245586
nac_ntrc__wt_gln__1,1.810192808,6.5861793136,7.3749953254000005
nac_ntrc__wt_gln__2,1.0803506896,6.5519704321,7.1719941696
nac_ntrc__bw_delnac_csn__1,1.1172706409,6.9607335643,6.7873514151
nac_ntrc__bw_delnac_csn__2,0.8329305125,6.9660448889,7.2187707707
nac_ntrc__bw_delnac_cytd__1,0.10960286520000001,6.9660509814000005,7.0012818511
nac_ntrc__bw_delnac_cytd__2,0.5373406422,6.7929117877,6.978407109
nac_ntrc__bw_delnac_gln__1,0.6239685507,7.0201799498,7.2516295443
nac_ntrc__bw_delnac_gln__2,1.4161364083999999,6.7952794722,7.2936576517
nac_ntrc__bw_delnac_nh4__1,-0.43194754960000004,7.0987158092,7.2291234747
nac_ntrc__bw_delnac_nh4__2,-1.3582145052,7.2749541532,7.2305570161
misc__wt_no_te__1,0.0666239491,6.8451641715000004,7.0962542901
misc__wt_no_te__2,-0.156431443,6.8284184531,7.2917273548
misc__bw_delcbl__1,1.281376518,6.8819528169,6.6158752205999996
misc__bw_delcbl__2,1.497875123,6.9204351781,6.6427792934
misc__bw_delfabr__1,-0.6427045561,6.8767452306,6.7721366918
misc__bw_delfabr__2,-0.9844467096,6.9295867311,6.8057213274
misc__bw_delfadr__1,18.4765160397,0.0,5.474393109
misc__bw_delfadr__2,16.4535585655,0.4938990921,5.6692822624
misc__nitr_031__1,1.8017518722,6.8119651033,7.4637566228
omics__wt_glu__1,0.0901834411,7.1410475868,7.9452301666
omics__wt_glu__2,0.2507109806,6.9905480171,7.9738120015
omics__wt_gly__1,-0.4138885619,6.7290834384,7.7874245204
omics__wt_gly__2,-0.7651852715,6.6510583682,7.5242495836
omics__wt_thr__1,0.5935232985000001,7.1508421652,7.5780794811
omics__wt_thr__2,0.517353128,7.2134712107,7.5338481607
omics__bw_ac__1,4.3295535513,7.9643170379,7.9638116683
omics__bw_ac__2,4.3406608005,7.9646457514,7.9965465672
omics__bw_fum__1,-0.1814739693,7.7378263941,7.7284040376
omics__bw_fum__2,-0.1780550214,7.6202744949,7.886426963
omics__bw_glc__1,-2.2225523226,7.6262889983,7.7392516601
omics__bw_glc__2,-2.2708267559,7.5454083181,7.7822731857
omics__bw_pyr__1,1.143421176,7.8940672913,7.8283845434
omics__bw_pyr__2,1.3335559376,8.0531271739,7.7707012889
ompr__wt_nacl__1,5.6953497608,5.6805270327,5.6014784385
ompr__wt_nacl__2,4.1987991995,5.7267910495,5.6332046083
ompr__bw_delompr_nacl__1,5.0947649344,5.3502383792,5.2632656919
ompr__bw_delompr_nacl__2,4.7736201361,5.4525258813,5.4506009238
minspan__wt_ade__1,-5.5532787273,7.4239623901,7.5778722016
minspan__wt_glc__1,-3.3992215302,6.8392537605,6.8501733082000005
minspan__wt_glc__2,-3.2631362674,7.0826629934,6.9012373833
minspan__wt_glc__3,-4.1075507319,7.1064911291,7.1030190949
minspan__wt_glc__4,-4.4058206951,7.4239386179,7.0324932072
minspan__wt_glc_anaero__1,-7.5387889149,7.2450046882,7.5295788603
minspan__wt_glc_anaero__2,-6.3861202047,7.2511355334,7.723081604
minspan__wt_trp__1,-6.0798087368000004,7.3432658638,6.7992688555
minspan__bw_delcra_glc__1,-5.3044651146,7.3042870752,6.2998143946
minspan__bw_delcra_glc__2,-5.3967249801,7.4303976731,6.2388115418
minspan__bw_delcra_trp__1,-6.3294216936,7.5054620788,6.6765904646
minspan__bw_delmntr__1,-6.2993731045,7.4018315713,6.8174042423
minspan__bw_delnac_ade__1,-2.4803778572,7.8866000249,7.9051182716
minspan__bw_delnac_glc__1,-1.7481764112,7.2810988726,7.1965512307
cra_crp__wt_ac__1,5.7846193688,7.2587103508,8.2233855362
cra_crp__wt_ac__2,5.8055770447,7.0994916668,8.202850622
cra_crp__wt_fru__1,3.7159469477,6.9850520527,7.8252574027
cra_crp__wt_fru__2,3.2132848559,6.974474904,7.8890392832
cra_crp__delcra_ac__1,4.5602406598,7.2392257974,7.7555533926999995
cra_crp__delcra_ac__2,4.1686714072,7.3631255836000005,7.8421756043
cra_crp__delcra_fru__1,-1.7750015514,6.727509647,7.0809250807
cra_crp__delcra_fru__2,-1.7411432567,6.981296118,7.211728921
cra_crp__delcra_glc__1,-0.8977333739000001,6.8507259978,6.9901749683
cra_crp__delcra_glc__2,-1.2796775215,6.7655780238,7.0630798545
rpoB__wt_031__1,6.0885927389,7.7035954955,8.0001656883
rpoB__wt_044__1,0.6603435518,7.2906997397,8.0792976717
