,yjgH
Cr_1,-0.0019682467876325728
Cr_2,-0.011582647891532169
Cr_3,-0.009226452333878959
Cr_4,-0.0037992845893624304
Cr_5,-0.003275945725283105
Cr_6,-0.00580439161775089
Fe_1,-0.01785644345439999
Fe_2,-0.04152637671782753
Fe_3,-0.06915976737199271
Fe_4,-0.10664044030188856
Fe_5,-0.14366960912965265
Fe_6,-0.17295665577421246
Cd_1,0.047570054199558856
Cd_2,0.10609239413510728
Cd_3,0.16268916758042212
Cd_4,0.18685245142524132
Cd_5,0.20040311640142128
Cd_6,0.2263041845062786
Zn_1,-0.00673301079691296
Zn_2,-0.008183879159180427
Zn_3,-0.0010896030984877756
Zn_4,0.00486336733550499
Zn_5,0.0153602727184523
Zn_6,0.022475262669612663
Cu_1,0.00751718185132133
Cu_2,0.013777709896130927
Cu_3,0.02214209152644279
Cu_4,0.03193846121260064
Cu_5,0.03610349504509085
Cu_6,0.04264074495767085
Pb_1,0.014392556319822088
Pb_2,0.028812392288506513
Pb_3,0.03644378668095944
Pb_4,0.04331638003332732
Pb_5,0.042078828857193516
Pb_6,0.05324977038244756
