,lolA
Cr_1,0.001274580270819159
Cr_2,-0.0007244766483819286
Cr_3,0.005458240920037332
Cr_4,0.01457563283202545
Cr_5,0.02659989343888313
Cr_6,0.030710266921489583
Fe_1,-0.017450066691136402
Fe_2,-0.04606718647139077
Fe_3,-0.08038979300583718
Fe_4,-0.11056437477522624
Fe_5,-0.12759637086101838
Fe_6,-0.14101086980565722
Cd_1,0.0018406348574897364
Cd_2,0.006231590170018207
Cd_3,0.006420007435733607
Cd_4,0.012772368874677113
Cd_5,0.018694863787986068
Cd_6,0.03087164844092638
Zn_1,0.013373675594205624
Zn_2,0.008405483260048424
Zn_3,0.024548514478886316
Zn_4,-0.012652087373623562
Zn_5,0.004808081147517095
Zn_6,0.00020798850444362363
Cu_1,0.005894115345191015
Cu_2,0.013031641210532456
Cu_3,0.020599857289322468
Cu_4,0.02326248496473496
Cu_5,0.022493108568987768
Cu_6,0.02146647936663763
Pb_1,0.013109322128667205
Pb_2,0.017576765266405447
Pb_3,0.03227588892285884
Pb_4,0.040261077970066776
Pb_5,0.05204661839682413
Pb_6,0.05379584051939691
