,A,IscR
R2,,0.6339308288883779
xmin,,-4.0695735795
xmid,,
xmax,,2.4171227035000005
ystart,,-8.65708952160576
yend,,4.526564201486639
control__wt_glc__1,0.1005122817067619,0.04566272449999964
control__wt_glc__2,-0.1005122817067462,-0.04566272449999964
fur__wt_dpd__1,1.470211902959199,1.8478925534999997
fur__wt_dpd__2,1.3385414002406812,1.9558987335
fur__wt_fe__1,-0.5395867829657411,-0.5951839574999997
fur__wt_fe__2,-0.9845950989832616,-0.8290032915000012
fur__delfur_dpd__1,0.6762915253559867,1.6672951534999996
fur__delfur_dpd__2,0.8984174803973853,1.6137390934999996
fur__delfur_fe2__1,-2.6823546885763765,0.1947629795000001
fur__delfur_fe2__2,-2.585265215925618,0.24935814050000005
acid__wt_ph5__1,-0.5791368339019325,-0.16279294050000104
acid__wt_ph5__2,-0.2933142945296562,-0.1503057615000003
acid__delgadx_ph5__2,-0.2985205517928361,-0.5434340894999998
acid__delgadw_ph5__1,-0.0929509083721518,-0.15551004249999956
acid__delgadw_ph5__2,-0.0106466835650556,-0.35314321350000105
acid__delgade_ph5__1,-0.4279291925001681,-0.025704217499999515
acid__delgade_ph5__2,-0.4433148560271855,0.04895864249999882
oxidative__wt_pq__1,-6.149800438942475,-0.2712843035000017
oxidative__wt_pq__2,-6.26397793994697,-0.21936645250000095
oxidative__deloxyr_pq__1,-4.23419083843082,-0.11140252950000118
oxidative__deloxyr_pq__2,-4.328027527488436,-0.08296399349999994
oxidative__delsoxr_pq__1,-5.85667544935915,0.2789859455000005
oxidative__delsoxr_pq__2,-5.717911732620448,0.2195674444999991
oxidative__delsoxs_pq__1,-6.3473381432432525,0.08710526149999964
oxidative__delsoxs_pq__2,-6.625183571166715,-0.0030748824999999873
nac_ntrc__wt_csn__1,0.8891462912409998,0.6408668525000003
nac_ntrc__wt_csn__2,0.5636411851126848,0.6687906664999996
nac_ntrc__wt_cytd__1,0.5312158984320489,0.5061316715000004
nac_ntrc__wt_cytd__2,0.6329464833995747,0.5525669784999998
nac_ntrc__wt_gln__1,-2.2602702754436157,-0.1890163144999999
nac_ntrc__wt_gln__2,-2.079591940654204,-0.1537749685000005
nac_ntrc__bw_delnac_csn__1,3.838300558761,2.1867698734999994
nac_ntrc__bw_delnac_csn__2,4.625475240539371,2.0999320335
nac_ntrc__bw_delnac_cytd__1,-1.3598053325092936,0.1769643994999992
nac_ntrc__bw_delnac_cytd__2,-1.469130667166495,0.15692340150000028
nac_ntrc__bw_delnac_gln__1,-0.965598084775826,0.5207613895000005
nac_ntrc__bw_delnac_gln__2,-1.8581771828946465,0.4931005565
nac_ntrc__bw_delnac_nh4__1,0.9007264006740896,0.3479404284999994
nac_ntrc__bw_delnac_nh4__2,0.5529357487019676,0.2586638335
misc__wt_no_te__1,-0.3566523304379207,1.3442338035
misc__wt_no_te__2,0.5306264349248907,1.1245514634999996
misc__bw_delcbl__1,2.9138377817265404,0.7385676574999991
misc__bw_delcbl__2,2.955597220270281,0.7530809074999993
misc__bw_delfabr__1,3.2874015088934283,0.38506845250000055
misc__bw_delfabr__2,3.2440168282299133,0.2957413695
misc__bw_delfadr__1,2.90565924093378,0.8428736234999992
misc__bw_delfadr__2,2.8450800034721846,0.7813527194999992
misc__nitr_031__1,0.5800303099821899,0.4241178674999997
omics__wt_glu__1,-1.6354226359810182,-0.1094019785000011
omics__wt_glu__2,-1.7964643614588511,-0.2854072865000035
omics__wt_gly__1,-1.545145261007586,-0.4520901975000005
omics__wt_gly__2,-1.112973944915448,-0.5037390715000001
omics__wt_thr__1,-8.00992090670358,-2.7516155215000007
omics__wt_thr__2,-7.452515733772582,-3.0925110875
omics__bw_ac__1,0.6179759345420398,0.6736457524999988
omics__bw_ac__2,0.7004469529777237,0.6667075044999997
omics__bw_fum__1,-1.0184414545612714,-0.4284341015000006
omics__bw_fum__2,-0.927328720569068,-0.2728559315000005
omics__bw_glc__1,-0.374149501376811,0.19277201549999926
omics__bw_glc__2,-0.144904472105568,0.2654364664999989
omics__bw_pyr__1,-0.304414378122633,0.31188941749999977
omics__bw_pyr__2,-1.3008276828153922,0.4249970495
ompr__wt_nacl__1,-2.062763022339837,0.07785830149999917
ompr__wt_nacl__2,-2.4969701019529245,0.13052782049999934
ompr__bw_delompr_nacl__1,0.4614218208717103,-0.15681805050000008
ompr__bw_delompr_nacl__2,0.550828983393597,-0.19724338850000045
minspan__wt_ade__1,0.5134881026808563,-0.7038919315000012
minspan__wt_glc__2,-3.3979173384635124,-2.299439048500001
minspan__wt_glc__3,-3.7347032920009,-2.4040930715
minspan__wt_glc__4,-3.968629393218564,-2.402973308500001
minspan__wt_glc_anaero__1,-4.685861275384688,-2.4654451325
minspan__wt_glc_anaero__2,-6.226057363031117,-2.3829117585000006
minspan__wt_trp__1,-8.286030408381968,-3.3858287435000016
minspan__bw_delcra_glc__2,-7.467906052592383,-3.1674042465000003
minspan__bw_delcra_trp__1,-9.246877269384925,-3.5191007144999995
minspan__bw_delmntr__1,-6.9383597521926905,-2.616794768500001
minspan__bw_delnac_ade__1,-1.6196274187033932,-1.6183718135000005
minspan__bw_delnac_glc__1,-3.3937037531284164,-1.7819582225
cra_crp__wt_ac__1,-0.6131097378327889,0.4353885534999993
cra_crp__wt_ac__2,-0.9149801645566924,0.3511315985000003
cra_crp__wt_fru__1,0.3336687832717978,0.4117879054999989
cra_crp__wt_fru__2,-0.0298727161901521,0.4260384204999994
cra_crp__delcra_ac__1,-1.7346944645256903,1.3802863935000005
cra_crp__delcra_ac__2,-1.9742966603706,1.2068412335000005
cra_crp__delcra_fru__1,0.3824321031170068,1.1164933134999997
cra_crp__delcra_fru__2,0.3653598728557549,1.1712108934999996
cra_crp__delcra_glc__1,0.6824509404566866,0.12656602749999912
cra_crp__delcra_glc__2,0.5484082414981508,0.3054025404999994
rpoB__wt_031__1,-0.5492762008314909,-0.01311050650000034
rpoB__wt_044__1,-0.9491872435469204,-0.3553899144999999
rpoB__wt_lb__1,0.3520118310073508,-0.2597101285000001
rpoB__wt_lb__2,0.4833296668836346,-0.09402207049999944
rpoB__rpoBE546V_031__1,-1.259230086939373,-0.1981652485000005
rpoB__rpoBE546V_044__1,-1.783672087007951,-0.3023233225000013
rpoB__rpoBE546V_lb__1,2.891001843807536,0.3876143204999991
rpoB__rpoBE546V_lb__2,1.4882714332753588,0.3335515074999993
rpoB__rpoBE546V_glc__1,-0.7867432965338943,-0.6545773315000005
rpoB__rpoBE672K_glc__1,1.8589882901032573,-0.5548539235000014
rpoB__rpoBE672K_glc__2,1.734602693096421,-0.4825371655000002
rpoB__rpoBE672K_lb__1,1.1218045905632423,-0.7147466745000006
rpoB__rpoBE672K_lb__2,0.9000808658146506,-0.5751257595000006
crp__wt_fru__1,0.3072683766462131,-0.1538534355000003
crp__wt_glyc__1,1.905324654725571,0.8547513035000005
crp__wt_glyc__2,-0.240922792409537,-0.3558074864999998
crp__delar1_glyc__1,-4.979682775344631,-2.7832181105
crp__delar1_glyc__2,-6.065770116136751,-3.0178447755000004
crp__delar1ar2_glyc__1,1.3229624621401137,0.6731040554999996
crp__delar1ar2_glyc__2,0.8137105725050837,0.4101253484999994
crp__delar1ar2_glyc__3,-0.211598903984633,-0.13393333149999975
crp__delar2_glyc__1,-8.708992016084528,-3.5986451815
crp__delar2_glyc__2,-8.409863204490065,-4.0364308885
crp__delar2_glyc__3,-9.142208911066747,-4.0695735795
crp__delcrp_fru__1,1.6695389316314029,0.8842177534999998
crp__delcrp_fru__2,2.308079492340482,0.8904258135000003
crp__delcrp_fru__3,1.5424337924982163,0.6880906795000001
crp__delcrp_glc__1,0.4195554436160473,0.5061445014999997
crp__delcrp_glc__2,0.8592617113027853,0.5291046865000002
crp__delcrp_glc__3,0.7063454575414764,0.5051303775000004
crp__delcrp_glyc__1,4.538769199302865,2.0205139935
crp__delcrp_glyc__2,4.588856958080857,1.9986299434999992
crp__delcrp_glyc__3,4.436365788607846,1.9790883135
glu__glu_ale3__1,-2.133839601801222,-1.600905147500001
glu__glu_ale4__1,1.1572747834482835,-1.0016963244999992
glu__glu_ale5__1,0.76285771615008,-1.1663339565000008
glu__glu_ale6__1,1.851032163774298,-0.017663708500000652
glu__glu_ale8__1,-4.762313266115913,-2.1667192575000005
glu__glu_ale9__1,0.1433407535081272,-1.1661499244999989
glu__glu_ale10__1,-2.144138751772892,-1.6417881635000011
42c__wt_42c__1,-3.950715010225785,-2.4575876935000007
42c__42c_ale1__1,-3.646851217786187,-2.2310699415000004
42c__42c_ale2__1,1.2303170847003555,-1.1558483514999995
42c__42c_ale3__1,0.8524643469184248,-0.08733282050000035
42c__42c_ale4__1,-0.0004449177448324,-1.6271670394999995
42c__42c_ale5__1,0.346723322276843,-0.13167646249999976
42c__42c_ale6__1,-5.14852522628293,-2.5998982165000006
42c__42c_ale8__1,-1.7948046137402078,-1.8597095385000009
42c__42c_ale9__1,-0.9094374461588308,-0.7200812264999996
42c__42c_ale10__1,-4.210394546079645,-2.4771315815
ssw__wt_ac__1,-1.5120255499046351,0.6486137195000001
ssw__wt_glc__1,-0.8879855110614203,-0.3878714535000008
ssw__wt_glyc__1,-2.002701180996663,-0.8586396525000008
ssw__wt_xyl__1,5.105804725286002,1.8610122335000003
ssw__glc_ale1__1,-1.7236242486297828,-1.007265243500001
ssw__glc_ale2__1,-4.286385410678874,-2.167357107500001
ssw__glc_ale3__1,-4.200343749829769,-2.0429796715000004
ssw__glyc_ale1__1,-3.004016764290924,-1.4553908515000007
ssw__glyc_ale2__1,-3.2461610621286114,-1.6081065304999989
ssw__xyl_ale1__1,-5.236563795555793,-2.2262377765000005
ssw__xyl_ale2__1,-3.0747266830935627,-1.3701193255000002
ssw__xyl_ale3__1,-3.4384789878868998,-1.061334582500001
ssw__glc_ac_ac2__1,-5.995896953620752,-2.8955739525000004
ssw__glc_ac_glc1__1,-0.9534378326805109,0.3768149965000003
ssw__glc_glyc_glc__1,-5.431628556889443,-2.4248607175000005
ssw__glc_glyc_glyc__1,-1.932691391924284,-1.4000852695
ssw__glc_xyl_glc__1,-6.10292994659083,-3.1615904875000007
ssw__glc_xyl_xyl__1,1.1039565502516624,-0.04242513049999985
ica__wt_glc__1,0.9383927167352862,0.12811014949999944
ica__wt_glc__2,-0.8242646675741212,-0.6755129644999993
ica__wt_glc__3,2.851638977206106,0.817750243499999
ica__wt_glc__4,2.574649212092279,0.9343578034999992
ica__arg_sbt__1,-3.517080313864603,-2.3057029565
ica__arg_sbt__2,-3.1288753756143586,-2.265220583500001
ica__cytd_rib__1,-2.701019225093343,-0.7296415565000007
ica__cytd_rib__2,-3.484592280680337,-0.7324475415000009
ica__gth__1,6.27575009766557,1.9711595135
ica__gth__2,6.693384802999105,1.702285463499999
ica__leu_glcr__1,-0.7682212741219842,0.04044598249999965
ica__leu_glcr__2,-0.6319554088062416,-0.19983757950000047
ica__met_glc__1,-1.0069894881245127,-0.9747721115
ica__met_glc__2,-0.3816403320648842,-0.6945375085000016
ica__no3_anaero__1,4.201562852497782,0.9822439135000014
ica__no3_anaero__2,3.4195791924468084,0.935985003499999
ica__phe_acgam__1,1.0403824615247812,-0.0451948255000012
ica__phe_acgam__2,1.075531518428983,-0.19779656949999944
ica__thm_gal__1,-0.141151732414354,0.05848105249999945
ica__thm_gal__2,-0.4454257531086106,-0.12489300150000028
ica__tyr_glcn__1,-0.2654192968484279,-0.2200634835000006
ica__tyr_glcn__2,-1.931620446603824,-0.9680653025000012
ica__ura_pyr__1,3.238727443057744,1.3056261834999994
