,-0.11403882533877223,-0.08552911900407917,-0.05701941266938611,-0.028509706334693047,1.3877787807814457e-17,0.02850970633469309,0.057019412669386135,0.08552911900407918,0.11403882533877226,0.14254853167346532,0.1710582380081584,0.1995679443428514,0.22807765067754449,0.25658735701223756,0.2850970633469306,0.31360676968162365,0.34211647601631673,0.3706261823510098,0.3991358886857029,0.42764559502039595
thresh,-0.12829367850611875,0.12829367850611875,11,,,,,,,,,,,,,,,,,
unreg,0,0,5,277,3067,248,5,1,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,0,18,239,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,2,18,148,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and Fnr,0,0,0,4,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and Fnr,0,0,0,5,38,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and NarP,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, NarL, and Fnr",0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, NarL, and NarP",0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, Fnr, and NarP",0,0,0,3,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, NarL, Fnr, and NarP",0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
