,A,Fnr,NarP,NarL,RpoS
abx_mega__rfp_ethanol__1,-9.1487687288,-0.12067474560000001,-0.4398574484,0.3371132867,1.1971556762
abx_mega__dmso-5__3,-1.496315147,0.1613415464,-0.3527733799,0.3899857407,-0.0579672664
abx_mega__amyc-d_dmso__1,-10.2279380581,0.257224454,1.3288510418000001,-1.9056921008,-1.1718080658
abx_mega__sxt_dmso__1,-0.8123795322,0.047755995,-0.7089910410000001,1.3605355026,-0.0579887361
abx_mega__dmso-1__1,-0.051895333200000004,-0.1308553567,-0.2711287174,-0.1621879518,-0.0090804595
abx_mega__pen_h2o__1,-2.1165393705,-0.3609283863,-0.5093581558,-0.4011629601,-0.2858089984
abx_mega__dmso-10__3,1.5595752536,0.20815252,0.0364477442,0.6602530221,0.7487499111
abx_mega__nal_naoh__4,-0.5171327291,0.0028938907,-0.25856244240000004,-0.3741219792,-0.2880430808
abx_mega__cip_naoh__1,-1.8519934528,0.11078089020000001,0.0550519451,-0.3082369024,-0.4022624342
abx_mega__pen_h2o__2,-5.3101236535,-0.2836689398,-0.32598421250000004,-0.3006640419,-0.102787711
abx_mega__ery_dmso__2,-12.659983905,0.0804674744,0.4420436025,-1.1971011775,-0.5464442224
abx_mega__dmso-2__2,0.06892542310000001,-0.2221077391,-0.2643984723,1.5801977473000002,-0.7664779575
abx_mega__van_dmso__2,-13.6526451926,0.6605546913,1.5217850224,-0.884127384,0.9269590489
abx_mega__h2o-1b__1,-0.5075647863,0.030807355300000002,0.0190431771,-0.452432223,0.0122038535
abx_mega__ery_h2o__1,-8.7963194614,0.1635488437,-0.33719525100000003,-1.3563246039,-0.9940082433
abx_mega__bacit_h2o__1,-14.9013603891,-0.4774994905,-0.4628079016,-0.6817547788,2.0411292587
abx_mega__chl_h2o__2,-8.8040648859,0.0987552064,0.4495089318,-1.3195528967999999,-0.3039589573
abx_mega__str_h2o__2,-5.4165679125,0.2741965069,0.1744438962,1.3047365667,-1.2338569192
abx_mega__rfp_ethanol__2,-5.592911527,0.12295077100000001,0.008755924600000001,0.0825550003,1.5108161085
abx_mega__polmyx_h2o__2,-1.5896941287000002,-0.3737381984,0.2622974283,-0.2047876144,0.0882130678
abx_mega__tric_h2o__1,-7.2721805497,1.3424886167,1.059662953,0.6570030657,1.863543381
abx_mega__cip_naoh__2,-3.9161482628,0.09932130680000001,-0.5126311683,-0.0042746708,-0.7670528724
abx_mega__novo_h2o__3,-12.2107216294,0.0559133562,-1.7429741852,-1.6268601596,-1.3988456439
abx_mega__bacit_dmso__1,-12.3492115972,-0.2242105774,-0.4913291436,-0.2149626757,0.1389480637
abx_mega__gen_h2o__1,-14.7998269607,0.41129122560000003,0.405030378,-0.0023401669,0.6382039402
abx_mega__bacit_dmso__2,-13.0055671964,-0.2049744387,-0.7977427117,-0.1358000564,0.6371311275
abx_mega__chl_dmso__1,-15.2250075149,0.1866328231,0.5384543401,-1.2077453185,0.5891552134
abx_mega__bacit_h2o__2,-10.4610449235,-0.8589924069,0.1082156185,-0.4745572525,1.1364192666
abx_mega__lvx_dmso__1,-3.8162830175,-0.18501779240000002,-0.0427401263,0.7236428398,-0.1227754323
abx_mega__bacit_h2o__3,-15.3828643139,-0.3986390476,-0.0107323025,-0.4942506949,1.842083342
abx_mega__nor_naoh__2,-3.1841194325,-0.11461450370000001,0.2506141943,-0.1796711266,-0.3056609431
abx_mega__amyc-d_dmso__2,-11.183357103,0.1534325597,-0.2171867614,-0.23408638040000002,-0.36055310500000004
abx_mega__polmyx_h2o__3,-7.0198600024,0.4256416268,0.2987113913,1.4636209179000002,-0.7452061929
abx_mega__naoh-6__1,-0.8902522275,0.1918842788,-0.2025213412,-0.0738028359,-0.19376253370000002
abx_mega__cst_h2o__2,-5.9242808655,0.2575678173,-0.020084199100000002,-0.2211989576,-0.1069060403
abx_mega__h2o-1b__2,-2.9771555452,0.7809611414000001,-0.1599746149,-0.32526084780000003,0.1476735541
abx_mega__rfp_h2o__1,-6.5423907093,-1.0905972262999999,0.9545101337,0.9832435012,0.2184687528
abx_mega__tet_h2o__1,-3.1494441502,0.0295461953,0.2129200557,-1.741102497,-0.3321838082
abx_mega__flavo_dmso__1,-13.2474615178,-0.9098451584,-0.3919223859,0.3338762417,1.1410073011
abx_mega__zeocin_h2o__1,-1.0607112552,0.11093211330000001,0.19983134200000002,0.356397116,0.5042714405000001
abx_mega__nor_naoh__3,-2.7825795252,-0.2660034833,-0.40460818390000003,-0.2272100971,-0.7028224034
abx_mega__rach_dmso__2,-12.7430866894,0.1360391327,-1.2809293815,1.7463769081,-0.3897788184
abx_mega__thio_dmso__2,-13.1290814964,0.3253789217,1.0805292125000001,-0.3890854292,0.6749000182
abx_mega__amyc-d_dmso__3,-10.9158328755,0.33467356740000004,1.4267336037,-1.6884538489,-1.0340379245
abx_mega__rif_dmso__2,-3.9987512591,-0.7654036895,0.4273007978,0.6145146939,-0.5313228746
abx_mega__amyc-d_dmso__4,-8.0826530358,0.0720316185,-0.1459043831,-0.335661769,-0.3395083618
abx_mega__teix_dmso__3,-0.8715062152,-0.1127364899,0.1586559508,-0.1154299023,-0.0744392624
abx_mega__valin_dmso__1,-10.9063558442,-0.1452747475,-0.4885066871,0.0956653423,-0.17103448070000002
abx_mega__teix_dmso__4,-0.7949341,-0.2103049645,0.0296494853,0.23881420290000002,-0.3425261498
abx_mega__ethanol-10__1,-4.5953365688000005,0.6194313426,0.4304443738,0.6441814068,0.7875061899
abx_mega__inh_h2o__1,-0.7219077387,-0.0340580552,-0.3569003075,0.44933268930000003,0.12003723670000001
abx_mega__rif_dmso__3,-2.4001945913,-1.5589165824,0.4464629396,1.197837956,-0.7659405174
abx_mega__van_dmso__3,-13.9267125519,0.2389667466,-0.0915679966,-0.7705163065,0.7263733076000001
abx_mega__doxo_dmso__1,-0.7601081629,-0.1301723133,-0.7656583164,0.42316666420000004,-0.6013224671
abx_mega__tmp_dmso__1,-2.1913209191,0.0567992999,-0.07555889040000001,0.37644281350000003,-0.8785134040000001
abx_mega__ethanol-10__2,-4.7800304076,0.4463184544,-0.4933719915,0.3676884166,0.7901452873
abx_mega__tmp_dmso__2,-1.6712200615000001,-0.011770757000000001,-0.5430244888,0.3141558765,-1.0691180943
abx_mega__amyc-d_dmso__5,-10.1000456192,0.4703427457,1.7156796893,-0.7713514634,-1.224876475
abx_mega__novo_h2o__4,-11.4752154222,0.7891519738,-2.0543147824,-1.9558634060000002,-0.8674783247000001
abx_mega__cro_h2o__2,-4.9830821324,0.0823465979,-0.4253322949,1.2346799578,-0.5275191918000001
abx_mega__cro_h2o__3,-4.2104780046,-0.21446519260000002,-0.40653318660000004,0.5304175659,-0.5277439766
abx_mega__gen_h2o__2,-16.737450162400002,0.5545946817,0.5058802737,-0.48062680010000003,0.5715646187
abx_mega__phos_h2o__4,-1.1892054693,-0.1556899832,0.058172736600000004,1.4968619098,-0.4801473545
abx_mega__metro_dmso__2,-6.0134529534,0.40866825960000003,-0.3005954981,-0.2002604006,-0.2058316979
abx_mega__ery_h2o__2,-8.004725496,-0.0307498051,0.095882878,-1.8801459853,-0.4031858943
abx_mega__sacet_h2o__1,-15.0129701181,1.8984960352,-0.9136579141000001,1.5862913974000001,0.5258567861
abx_mega__nal_naoh__5,-1.9060543309,0.11935505780000001,-0.7939913125,-0.2314427329,-1.0791491496
abx_mega__bacit_h2o__4,-12.4619737068,-0.7716038602,-0.0712362409,-0.6522742559,1.1625349641
abx_mega__cip_naoh__3,-0.9187476217,-0.1062377801,-0.1621612355,-0.49739226270000003,-0.3946522053
abx_mega__ethanol-8__1,0.4898931528,-0.0429042057,-0.0158619037,0.6304378737,0.0892968809
abx_mega__h2o-8a__1,-9.9787117097,-0.1697118587,-0.0407747313,-0.1934353014,0.3895898545
abx_mega__ery_h2o__3,-7.9166825818,-0.046749594000000005,-0.2011381768,-1.5593456345,-0.9798657269000001
abx_mega__flavo_dmso__2,-4.1283969319,0.060263538500000005,-0.571705648,1.3837328354,-0.3558929129
abx_mega__rif_dmso__4,-3.1567555329,-1.4686879149,0.5616910901000001,1.0818833664,-0.3203433341
abx_mega__novo_h2o__5,-11.854480509,0.2258676651,-2.1742655912,-1.3957788496,-1.8907045999
abx_mega__teix_dmso__5,2.0496784367,-0.0180107938,-0.1130217979,0.2339403894,0.5235856839
abx_mega__naoh-2__1,-2.8019713321,0.12440957970000001,-0.7274217628,1.5570266128,-0.6960164566
abx_mega__novo_h2o__6,-10.2098024738,0.7205527484,-2.278213256,-2.0014040988,-1.5270626442
abx_mega__ctx_h2o__3,-5.7403523406,-0.064859922,-0.6882414568,0.6053981366,-0.4634139386
abx_mega__rach_dmso__3,-13.0424084487,-0.0946227506,-1.3066296088,1.604092458,-0.5227460333
abx_mega__valin_dmso__2,-11.5028471804,-0.1504039911,-0.8226361050000001,0.6228761494,-0.6079369570000001
abx_mega__amyc-d_dmso__6,-15.5596881107,1.0932260792,2.1943823936,-0.8243217897,-0.5831907388
abx_mega__dox_dmso__2,-2.8783676265,-0.3495048284,0.3364447853,-0.6210031891000001,-0.5897015176
abx_mega__teix_dmso__6,2.110962533,-0.19216870800000002,-0.32548817700000005,0.46369876390000003,0.33302975900000004
abx_mega__naoh-6__2,-2.2376888288,0.2508705046,-0.0572439946,0.0115520281,-0.17128217310000002
abx_mega__inh_h2o__2,-11.4909071483,1.0236963855,0.9599814641000001,-1.044426633,0.6983107852
abx_mega__chl_h2o__3,-12.3206423709,0.8645055481,0.8907982246,-0.46185970600000004,-0.047770770600000005
abx_mega__nal_naoh__6,-2.2031577127,0.1051428429,-0.2457727821,-0.3703789377,-0.7783978846
abx_mega__chl_dmso__2,-14.2209679945,0.2708431966,0.4003051926,-1.1513063757,0.5795485447000001
abx_mega__rach_dmso__4,-2.4024192430999998,0.2606390819,-1.0962010883,1.4684025725,-0.4604892508
abx_mega__teix_dmso__7,1.8344899682,0.3504676022,-0.1483909361,0.3922415131,0.5469985911
abx_mega__ceru_ethanol__1,-3.0225273128,1.4535275098,0.3407571019,0.6149460887,1.9391797668000001
abx_mega__dmso-7__1,-0.4855583821,0.0944210472,-0.4340730082,1.2176890491,-0.18206983540000002
abx_mega__naoh-6__3,-1.7657022682,0.2067024995,0.0149469388,0.0786879999,-0.2625622673
abx_mega__phos_ethanol__2,1.4132653948,0.5219782296000001,0.3048665491,0.4392596675,0.6362886964000001
abx_mega__metro_dmso__3,-6.7779222077,0.5121052174,-0.41623245750000004,-0.2137913818,-0.24292153970000002
abx_mega__van_dmso__4,-12.2942361124,0.28659288180000003,0.287914174,-0.9419717976,0.6048608691
abx_mega__h2o-10__1,-10.0432396958,0.2130377387,-0.39581197770000004,0.1814334535,0.7306458363
abx_mega__h2o-10__2,-6.5172533926,0.1522575818,-0.018352238400000002,0.48796528650000004,0.47634399800000005
abx_mega__dmso-6__3,-2.6736967938,-0.35454569550000004,-0.2326673726,0.3898016124,-0.3464694589
abx_mega__mem_dmso__1,-4.7032561605000005,-0.3062884087,-0.2546286108,0.9646124930000001,-0.2505482308
abx_mega__ethanol-8__2,0.1445586926,-0.0252304237,0.3950960525,0.3186268997,0.6124656474
abx_mega__chl_h2o__4,-12.2664145058,0.7271274121,0.8610139065,-0.6661033798,-0.0719270178
abx_mega__van_h2o__1,-9.5221797371,-0.903332961,-0.6986074468,-0.5742892551000001,0.6540059885
abx_mega__dcs_h2o__1,1.4284584199,0.6936041281,-0.0320350164,0.2068721395,0.4711092564
abx_mega__rif_dmso__5,-2.7013488052,-0.7666040526,0.5155815996,0.8425442237,-0.5450956153000001
abx_mega__dox_dmso__3,-6.3789931385,0.2468405504,0.5002942189,0.10017048020000001,0.2452439907
abx_mega__mem_dmso__2,-10.5315278679,-0.4892115863,-0.1905824414,0.6332738483,-0.1035126536
abx_mega__lvx_dmso__2,-1.0954590016,-0.129152751,0.1163194805,-0.0869541332,-0.009095269900000001
abx_mega__tet_h2o__2,-4.1620877702,0.2983443387,1.7408995561,-0.46924192730000003,1.087692968
abx_mega__phos_h2o__5,-1.1832880234,0.12871355610000002,-0.4592834108,1.6275674107,-0.3560818886
abx_mega__monac_dmso__1,-13.5342855072,1.4088048351,-0.1690616091,0.0717431857,1.7535099344
abx_mega__str_h2o__3,-6.1083117602,0.08708125080000001,-0.2498896414,0.1418999508,0.5170498195000001
abx_mega__zeocin_h2o__2,-7.0426529991,-0.42460153910000004,-0.5528055072,1.3045613756,-1.0193472069
abx_mega__amyc-d_dmso__7,-14.4322846077,0.9037219768,2.2058813019,-1.2192577822,-0.523282682
abx_mega__fidax_dmso__1,1.7908408985,0.35278275610000004,-0.1029181706,0.5364471703,0.43947406520000004
abx_mega__h2o-1a__1,-0.1316124143,-0.1301828894,0.0928433494,-0.0076170702,0.0446724711
abx_mega__dox_dmso__4,-2.1128040019,0.1499766492,0.3896896489,-0.27625373140000004,-0.2893820741
abx_mega__lzd_dmso__2,-15.341212103,0.8640746426,0.5028083919,-1.0222917741,-0.2117878394
abx_mega__tet_h2o__3,-2.2029457965,-0.014793680600000001,0.365963601,-1.5087092232,-0.3179564891
abx_mega__dmso-1__2,1.6973340518,-0.0468660871,-0.015579095400000001,-0.5589211898,0.08899595980000001
abx_mega__sxt_dmso__2,-9.6950314143,0.1322961821,0.010017483300000001,0.068627529,0.028312995400000002
abx_mega__tric_ethanol__2,-5.0700167489,0.619159111,0.3834222818,0.23941269040000002,1.3392921219
abx_mega__teix_dmso__8,-4.2984892622,-0.0780351353,0.0265362937,-0.3793496945,-0.9200105722
abx_mega__ramo_h2o__2,-6.7387759809,-0.5733023752,-0.0006106717,0.09514280300000001,1.5403945842
abx_mega__inh_h2o__3,0.08219258360000001,0.3346755523,-0.0340331285,0.3216977505,0.5704792652
abx_mega__cst_h2o__3,-2.0497747075,0.6157335293,-0.0924264459,-0.3478318655,0.1799193872
abx_mega__dmso-9__1,-0.2803779353,-0.029816820400000003,0.1401014203,0.1757205838,0.4667043355
abx_mega__ethanol-8__3,-0.0211122454,-0.1057688244,0.4136077099,0.36504344,0.20339786340000002
abx_mega__monac_dmso__2,-13.0739645733,1.4863412037,0.41166055090000003,-0.3366484642,1.7636918297
abx_mega__dmso-9__2,1.4935078387,-0.0200467158,0.290420389,0.1457238569,0.3315411609
abx_mega__metro_dmso__4,-6.9635353354,0.6682181821000001,-0.026877961500000002,-0.173456255,-0.35813353740000003
abx_mega__ctx_h2o__4,-5.0642063592,0.1093383753,-0.6890810196,0.9764181073,-0.36327625890000004
abx_mega__zeocin_h2o__3,-10.1722106455,-0.42024945410000003,-0.6267180028,1.219990166,-0.9242360812
abx_mega__bacit_h2o__5,-10.725386887,-1.0686406259,0.023222794,-0.4873407738,1.1244853324
abx_mega__reta_dmso__1,-11.8096404325,0.2624442987,0.8112878752,-0.14538301080000002,0.2482560155
abx_mega__ery_h2o__4,-6.8736545055,0.1838410419,0.5149195637,-0.4901782139,0.6052921899
abx_mega__ceru_ethanol__2,-13.5110056945,1.4458719120999999,-0.0056902956,-0.08747928320000001,1.6927350389
abx_mega__fidax_dmso__2,2.3251730559,0.061060066100000004,0.1540817823,0.5088590205,0.4568848408
abx_mega__novo_dmso__1,-12.3219294428,0.8339819837,-1.7063568465,-0.8191870707000001,-0.9789359647
abx_mega__naoh-6__4,-1.0867481263,0.2749615761,-0.1018931029,0.3838430101,-0.16993395320000002
abx_mega__amyc-d_dmso__8,-10.5966255379,0.1675077619,0.058551499900000005,0.1386459591,-0.30292878300000003
abx_mega__chl_dmso__3,-13.530877058,0.2359552994,0.508330375,-1.2035076039,0.5264198142000001
abx_mega__nal_naoh__7,2.3063810279,-0.1143720156,0.2481821528,-0.32990943310000004,0.2397725474
abx_mega__teix_dmso__9,1.9407747201,0.19924687600000002,-0.0653212837,0.350365087,0.5519567652
abx_mega__ery_dmso__3,-10.231670672,-0.1930182149,0.23665615350000002,-0.8914052882,-0.2960727922
abx_mega__tmp_dmso__3,-2.6945631615,0.021624803,-0.156655018,0.3805848848,-0.9535799394000001
abx_mega__sxt_dmso__3,2.1252248249,0.1404174962,-0.5539937017000001,0.8127445483,0.1879820745
abx_mega__polmyx_h2o__4,-5.5523991869,0.7190717129,0.0412890397,1.162897535,-0.33462678430000004
abx_mega__mem_dmso__3,0.16395028420000002,-0.106792127,-0.043983285500000004,0.12293057980000001,0.4853458886
abx_mega__nal_naoh__8,-1.4899949011,-0.5226446066,-0.837478848,1.0434381186,-1.5466922668
abx_mega__pen_h2o__3,-0.390908633,-0.9448240483,0.20612679420000002,-0.3811294766,0.3364849925
abx_mega__van_dmso__5,-14.3555512358,0.3519942873,0.0669940348,-0.7681838617000001,0.5538937326
abx_mega__zeocin_h2o__4,-5.7586264797,-0.3420308308,0.2338642226,1.4810631343,-0.9333736147
abx_mega__h2o-6__2,-1.2895957917,0.2237971175,-0.314286656,0.12666160140000002,-0.43851679990000003
abx_mega__tet_h2o__4,-3.1948671059000002,-0.09366302650000001,0.30369183520000004,-1.2428560724,-0.6122638961
abx_mega__nor_naoh__4,-1.3657799003,0.1884711132,0.3193403033,-0.2609186745,0.0192414513
abx_mega__cip_naoh__4,-3.3070122519,0.1897163396,-0.0628284169,-0.0755452092,-0.4865215724
abx_mega__tmp_dmso__4,-2.8989590825000002,0.46955750020000003,0.12083716870000001,0.2225884108,-0.7272492188
abx_mega__reta_dmso__2,-7.8412463895,0.079054857,0.5095976258,0.16663621180000002,-0.1476290305
abx_mega__mem_dmso__4,-3.2980536507,0.1562169847,-0.6153736838,1.1260659392,-0.46360405250000003
abx_mega__dox_dmso__5,-1.4532242047000001,0.5560831223,0.9407883296,0.0273460971,0.4989539183
abx_mega__tmp_dmso__5,0.262366675,0.16093619850000002,0.33154591510000003,-0.1009953331,0.3705406573
abx_mega__flavo_dmso__3,0.5702155846,0.21465859110000002,-0.13628430860000001,0.8172587432,-0.1438542033
abx_mega__tmp_dmso__6,-0.9889815511000001,-0.4506960218,0.0314684843,0.32986084450000003,-0.5194117031000001
abx_mega__ceru_ethanol__3,-11.6667032277,1.4078249743,0.413486717,0.4043260756,2.0305828611
abx_mega__teix_dmso__10,-2.8281645499,-0.024926434900000002,-0.0282957154,-0.2090247448,-0.4654391383
abx_mega__novo_h2o__7,-12.3142975676,0.28331731590000003,-1.9134377318,-1.6490916468,-1.4261023225
abx_mega__fidax_dmso__3,1.1450536855,0.1656484172,0.265417628,0.5836041919,0.3766098639
abx_mega__h2o-1a__2,0.19562703,0.0397621094,0.1340280114,0.07538422110000001,-0.1364564022
abx_mega__dcs_h2o__2,-2.9867488047,0.0295181061,0.18859774980000002,-0.2137039597,0.1286029695
abx_mega__cst_h2o__4,-5.1741018084,0.6765520599,-0.059400394100000004,-0.2134462412,-0.0696890087
abx_mega__van_h2o__2,-2.6687887312000003,-0.1313395527,0.2933822076,-0.2306398724,0.9030849996
abx_mega__pen_h2o__4,0.5722768787,-1.1849000443,0.3123219671,-0.5936463758,0.38838182590000003
abx_mega__h2o-8b__2,1.8391555652,0.1917764428,-0.0031438663,0.11993875400000001,-0.0550770701
abx_mega__reta_dmso__3,-4.6344351983,-0.1254083886,0.2423279025,0.237909008,-0.6307641964
abx_mega__dmso-7__2,-5.5982241508,0.0413045956,-0.5005520718,1.8895943154000001,-0.2597921773
abx_mega__rfp_h2o__2,-7.0331771752,-1.2130654544000001,0.7426737131000001,1.2509991628,-0.1763272148
abx_mega__rif_dmso__6,-5.3178032822,-1.1475451275,0.27292572190000003,1.1704671685,-0.1529290586
abx_mega__sxt_dmso__4,-1.8297456904,0.23990241980000002,-0.6835124446,1.3514043206,0.2706568916
abx_mega__cip_naoh__5,-2.20735164,-0.042177127,0.2227351699,0.0185558471,-0.8203963424
abx_mega__dmso-9__3,0.9404236722,-0.341587067,-0.1303429931,0.32390818520000003,0.1585795959
abx_mega__mem_dmso__5,0.4949753458,0.1067217318,-0.3281104416,0.4918307497,-0.1142251222
abx_mega__tric_h2o__2,-4.8108858285,1.3284647298,0.669386147,0.5095991614000001,1.8143817081
abx_mega__phos_h2o__6,0.029059683500000003,0.13667702310000002,-0.1032763376,0.1723091054,-0.4731728442
abx_mega__h2o-7__2,1.4194523583,0.0400555976,-0.391191184,0.5866863516,0.0620097399
abx_mega__h2o-10__3,-5.7459591867,0.1579017148,0.0433225165,0.2516220524,0.3949410132
abx_mega__h2o-8a__2,-10.6813823583,-0.2295144067,-0.0822340267,-0.45374010200000003,0.3263541776
abx_mega__thio_dmso__3,-5.6909752000000005,-0.40999634500000004,-0.39758810980000003,-0.0785225256,-0.7083059624
abx_mega__lzd_dmso__3,-4.5890568166,0.41635551470000004,0.2796769723,-1.0671567044999999,-0.851641096
abx_mega__monac_dmso__3,-14.4628219509,0.8852669989,0.3154495637,-1.70122574,1.4811790611
abx_mega__polmyx_h2o__5,-7.3433499107,0.47019160320000003,-0.1567050139,0.7365673686,1.1931153627
