,A,Fnr,NarP,NarL,RpoS
R2,,0.16261591419400534,0.06361851377592398,0.010894517731098174,0.005328947325804689
xmin,,-7.8525940196,-3.4636144832999998,-3.0560450505,-8.919357295
xmid,,-1.618201629122167,-2.054294318026569,1.048113919274136,-2.7451349117309816
xmax,,4.4171410107,2.9757521876,2.4694155805999998,4.1241387708
ystart,,3.3320280802925124,-3.0242968640579777,0.013547502423787883,-1.0457554767280346
yend,,-11.278967364168375,4.082290954599232,-6.2726520396876335,1.211864319169455
aat__00m_00s__1,-0.0144575271,-0.0825740115,-0.025949787000000002,0.0834143878,0.12389400360000001
aat__00m_30s__1,-0.6596578077,0.16485310350000001,-0.0137519644,0.0504933555,0.0917269352
aat__01m_00s__1,-1.5873487639000001,0.7752711503,0.0609692344,0.031696480900000004,0.2668871882
aat__02m_00s__1,-1.9432524862,0.9066270852,-0.10841500300000001,-0.0029696078000000002,0.6346371772
aat__05m_00s__1,-4.4082861826,0.95171602,-0.2022767549,-0.3118176763,0.7311205703
aat__10m_00s__1,-3.9784000584,1.0192587317,0.122656549,-1.1250431231,0.047843636
aat__00m_00s__2,-0.8996887158,0.1234264677,-0.25349993590000003,0.0253800388,-0.011411859
aat__00m_30s__2,-0.6598129866,0.4334180231,0.11107518100000001,-0.0159687598,0.1487334191
aat__01m_00s__2,-2.1207618217,0.7979562918,-0.056693302200000004,0.11729304230000001,0.5719214457
aat__02m_00s__2,-2.9821365919,0.8964971719,-0.3977770989,-0.0645860458,0.7703039475
aat__05m_00s__2,-3.8479094175,0.9047534472000001,-0.2185532135,-0.4360385312,0.9491057834000001
aat__10m_00s__2,-3.4306459739,0.9185125141,-0.0581421639,-0.7155510694,0.7949646441
aat__00m_00s__3,0.9141462428,-0.040852456200000005,0.27944972300000004,-0.10879442660000001,-0.1124821446
aat__00m_30s__3,0.4365139434,0.2208704434,0.181212162,0.004012204,0.0485519624
aat__01m_00s__3,-0.1914440913,0.7920547098,0.0720095186,0.1317350897,0.2451175693
aat__02m_00s__3,-1.5948568496000002,0.8818752216,-0.12842398730000001,0.0470774695,0.5595453177
aat__05m_00s__3,-3.2879743919,0.9825066807,-0.21288096950000002,-0.5255995358000001,1.0364768899
aat__10m_00s__3,-3.6245165651,0.9444446514,-0.1782494413,-0.9168248342,0.7744984592
abx_mega__dmso-2__1,-1.594362654,0.0403637158,-0.4338146809,1.9154446272,-0.6575883396000001
abx_mega__ery_dmso__1,-12.1273082292,0.5459244040000001,-0.1175039434,-0.7280519322,-0.41439528130000003
abx_mega__nal_naoh__1,-0.5817556802,-0.6791990309,-1.0752569035,1.1947183288,-1.5267586985000001
abx_mega__dmso-5__1,-0.2859632976,0.0078028844000000005,-0.1711096228,0.1780909309,0.013532579400000001
abx_mega__rif_dmso__1,-4.2790961473,-1.3129271236,0.48338741570000004,1.2955909793,-0.4507050045
abx_mega__novo_h2o__1,-13.4059781605,0.20689053170000002,-1.8476087346,-1.6319055235,-1.3699185348
abx_mega__rach_dmso__1,-9.6423885608,-0.045048951000000004,-0.4523160888,0.4734941154,0.0290375594
abx_mega__metro_dmso__1,-6.2191605606,0.4656249649,-0.36014899040000004,-0.1664938681,-0.18024768900000002
abx_mega__dmso-6__1,-2.2420032167,-0.3784852643,-0.4676117134,0.5350788069,-0.34416743510000003
abx_mega__chl_h2o__1,-11.4188503095,0.3019332691,0.4629083968,-1.1516025581,-0.4766743304
abx_mega__cst_h2o__1,0.13515502000000001,0.0320312785,0.0851830803,0.2589008747,0.2482267076
abx_mega__tec_h2o__1,-15.8697739846,-2.6112045671,-0.8365717475000001,0.6985329095,0.022944085000000003
abx_mega__str_h2o__1,-3.3675258514,0.2482154852,0.5061302001,1.5091314717,-1.1664088354
abx_mega__ctx_h2o__1,-0.8693447552,0.0230880885,0.3847222361,0.0599282165,0.2455560166
abx_mega__nal_naoh__2,-2.9138791925,0.3075812793,-0.06551305810000001,-0.3923176547,-0.7270261651000001
abx_mega__phos_h2o__1,3.617851076,-0.7038356709,0.2361240816,-0.4271510985,0.1246632279
abx_mega__dmso-5__2,-1.8236182417,-0.2244639849,-0.2733503608,0.2821523801,0.17891339180000002
abx_mega__polmyx_h2o__1,-1.9966889248,0.32801548280000004,0.3720560761,0.07094828710000001,0.8690290136000001
abx_mega__h2o-8b__1,1.3591883065,-0.0363903054,0.1109293113,0.19399510790000002,0.1019266675
abx_mega__h2o-6__1,-1.6339771567999999,0.1539794799,0.0975458241,0.0642121101,-0.159521414
abx_mega__thio_dmso__1,-4.7066800804,-0.315089026,-0.1415011829,-0.07041621590000001,-0.7117395496000001
abx_mega__phos_h2o__2,2.0991347235,-0.19593564700000002,0.2943684521,0.2387249998,0.2200444192
abx_mega__ctx_h2o__2,-0.9272032391,0.1826918599,-0.1182591057,0.4765491027,-0.24488367700000002
abx_mega__lzd_dmso__1,-6.6488854822,0.6125076868,0.21852763760000002,-0.9480551533,-0.6076757834000001
abx_mega__naoh-9__1,-0.7369519191,0.518483773,0.3719915205,0.3874315129,0.4192586639
abx_mega__dox_dmso__1,0.15974021160000001,0.6077452839,0.8872135585,-0.30677911280000003,0.3345453216
abx_mega__phos_ethanol__1,1.2000484839,0.7489705412000001,0.3886492084,0.45546757130000004,0.9291638342
abx_mega__teix_dmso__1,-14.1441807,-1.2905505804000001,-1.1287978512,0.8811496315,0.6945469896
abx_mega__dmso-10__1,2.0267743719,0.4743514224,0.1035965041,0.5259159415,0.7728686116
abx_mega__van_dmso__1,-12.4222967269,0.8302627999000001,1.1049926991,-1.1704676525,1.381880559
abx_mega__ramo_h2o__1,-8.1277277039,-0.8002749045,0.0806093745,-0.1456506972,0.8471900986
abx_mega__tec_h2o__2,-9.4425189065,-1.6551107114999999,0.0014017051,-0.0240085228,0.9445992575000001
abx_mega__h2o-7__1,1.5102090843,0.21844817860000001,-0.1979834949,0.5443759374,-0.101510944
abx_mega__cro_h2o__1,-0.1313039484,0.0879280571,-0.1569156836,0.9783104235000001,-0.39254390580000004
abx_mega__tric_ethanol__1,-11.2095710846,0.8900785727,0.3661053718,0.7166860521,1.6641543512
abx_mega__nor_naoh__1,-2.2024096448,-0.0313845657,-0.2629685692,-0.0818044565,-0.6444778476
abx_mega__teix_dmso__2,-2.1088430709,-0.4150383489,-0.4385959025,0.2538442496,-0.28779240840000003
abx_mega__nal_naoh__3,-2.6780436117,0.2272209504,-0.28319217420000004,-0.32002223220000003,-0.6870264622000001
abx_mega__novo_h2o__2,-13.9562164382,0.16806743940000002,-1.6058511883,-1.4231800896,-1.3007259393
abx_mega__dmso-10__2,1.6726929698,0.40832126950000003,0.21582440830000002,0.371962511,0.8062681238
abx_mega__phos_h2o__3,-1.0231282622,0.0877333852,0.1165515869,0.040928029000000005,-0.4039469799
abx_mega__dmso-6__2,-2.5956855924,-0.1654402185,-0.2907956102,0.3072546497,-0.38068987460000003
