,oppA
Cr_1,-0.011376686924265344
Cr_2,-0.023571726806257458
Cr_3,-0.036904041614107534
Cr_4,-0.051083627516229566
Cr_5,-0.06548874830259763
Cr_6,-0.07852067614273013
Fe_1,-0.0038823651001003135
Fe_2,0.0009033211193267088
Fe_3,0.018087928145290567
Fe_4,0.03266241609655653
Fe_5,0.04966213497869576
Fe_6,0.0670488443092552
Cd_1,-0.00833233033063822
Cd_2,-0.0162205774426176
Cd_3,-0.024144610348151803
Cd_4,-0.03207475578110933
Cd_5,-0.04264929527090442
Cd_6,-0.04847788664739524
Zn_1,-0.004110020940034182
Zn_2,-0.00045640393291192726
Zn_3,0.02372589698208557
Zn_4,0.05341128430429997
Zn_5,0.08830832044386455
Zn_6,0.1201847091967668
Cu_1,-0.0085733754961487
Cu_2,-0.017540630231675198
Cu_3,-0.029506159209910444
Cu_4,-0.043438676903035885
Cu_5,-0.055482089747833085
Cu_6,-0.06397176317079413
Pb_1,0.005549073673137971
Pb_2,0.005133733664204753
Pb_3,0.006696220742154843
Pb_4,0.011145026406132923
Pb_5,0.017201395127318813
Pb_6,0.020239675913093662
