,yjiY
Cr_1,-0.0001606219905950973
Cr_2,0.0029781987323438714
Cr_3,0.0011693089056528136
Cr_4,-0.0023597313171559173
Cr_5,-0.00418306329784982
Cr_6,-0.007437734891453502
Fe_1,-0.004744990688066161
Fe_2,-0.01071613257656842
Fe_3,-0.007842515807892834
Fe_4,-0.009430212526833294
Fe_5,-0.01875808963296627
Fe_6,-0.024971408973044198
Cd_1,-0.00026636635166006167
Cd_2,-0.0005985114257753895
Cd_3,1.6835589574866454e-05
Cd_4,-0.0008340333198517487
Cd_5,-0.0047563157795039775
Cd_6,-0.004472242656896151
Zn_1,-0.013419324994934577
Zn_2,-0.012057434346359428
Zn_3,-0.003335128992999425
Zn_4,-0.0008104679537054553
Zn_5,-0.0005293564611132194
Zn_6,-0.005694991632499547
Cu_1,-0.0001961771045948798
Cu_2,0.002682959889534227
Cu_3,0.007333017121774945
Cu_4,0.00909197108849426
Cu_5,0.016524236502740132
Cu_6,0.020763740778954515
Pb_1,0.0008161269477048707
Pb_2,0.00435504811314883
Pb_3,0.008145924826012884
Pb_4,0.01934284108760961
Pb_5,0.029803219105542338
Pb_6,0.03567772807805545
