,USA300HOU_RS10380
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,7.7481164867
USA300_LAC_U01-Set001_CAMHB_Control_1,7.4717646486
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,7.4023698596
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,7.3846118258
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.5372159271
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,7.7637848116
USA300_LAC_U01-Set001_CAMHB_Control_2,7.4854341827
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,7.5086146411
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,7.5172504405
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,7.5471527763
USA300_TCH1516_U01-Set000_CAMHB_Control_1,7.7502136969
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,7.2489841833
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,7.2842949955
USA300_LAC_U01-Set001_R10LB_PreCulture_1,7.9187211965
USA300_LAC_U01-Set001_R10LB_PreCulture_2,7.7391478478
USA300_LAC_U01-Set001_R10LB_Control_1,8.0236160402
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,8.0570329706
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.2375689322
USA300_LAC_U01-Set001_R10LB_Control_2,8.1030323242
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,8.1941231506
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,8.1859156883
USA300_TCH1516_U01-Set000_R10LB_Control_1,8.0509125343
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,8.0417948327
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,8.0296143367
USA300_TCH1516_U01-Set000_R10LB_Control_2,8.3036148084
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,7.9277725781
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,8.0754929819
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,7.4588157418
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,7.3934319939
USA300_TCH1516_U01-Set000_CAMHB_Control_2,7.6348846345
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,7.4134188257
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,7.2633897217
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,7.2441990604
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,7.2559349096
USA300_LAC_U01-Set004_CAMHB_Control_1,7.7531481924
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,7.748281369
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,7.7360018489
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,7.8107764562
