,ybgD
Cr_1,-0.002579005924254993
Cr_2,-0.0052477341972767145
Cr_3,-0.005962673544961135
Cr_4,0.015717246261628792
Cr_5,0.02929097537212995
Cr_6,0.032303540835304664
Fe_1,-0.03573586906889674
Fe_2,-0.07827143130026562
Fe_3,-0.08505815371525527
Fe_4,-0.09581670387471468
Fe_5,-0.10613297162454782
Fe_6,-0.11880236312701432
Cd_1,0.007868153524527377
Cd_2,0.014048700749195163
Cd_3,0.01905811072464916
Cd_4,0.01857956849376025
Cd_5,0.01726394633799793
Cd_6,0.023063831982038114
Zn_1,-0.008489014297342544
Zn_2,-0.02184716309750501
Zn_3,-0.028013018962330712
Zn_4,-0.034709834398690034
Zn_5,-0.038900427367815335
Zn_6,-0.04361516970500757
Cu_1,0.008093532118363047
Cu_2,0.015094446619545506
Cu_3,0.020335070882861288
Cu_4,0.02850130044537107
Cu_5,0.0375954811844
Cu_6,0.04722056187108471
Pb_1,-0.01356526356118667
Pb_2,-0.0037680763188133455
Pb_3,0.0015571487151272475
Pb_4,0.019752212780724355
Pb_5,0.03266798294058718
Pb_6,0.031789392698886844
