,-0.04926461925594343,6.938893903907228e-18,0.04926461925594344,0.09852923851188687,0.14779385776783033,0.19705847702377377,0.24632309627971716,0.2955877155356606,0.34485233479160404,0.3941169540475475,0.44338157330349093,0.49264619255943437,0.5419108118153778,0.5911754310713213,0.6404400503272647,0.6897046695832082,0.7389692888391516,0.788233908095095,0.8374985273510385,0.8867631466069819
thresh,-0.07389692888391515,0.07389692888391515,1,,,,,,,,,,,,,,,,,
unreg,87,4059,105,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['yncO' 'yniD' 'eutN' 'ymcF' 'ymfR'],[],[],[],[],[],[],[],[],['yneP'],[],[],[],[],[],[],[]
