,asnS
Cr_1,0.0006565423359026685
Cr_2,0.006418142247175547
Cr_3,0.0065147593849169206
Cr_4,0.00346509532867094
Cr_5,-0.005091982550673414
Cr_6,-0.011388667070557764
Fe_1,-0.007732547960618991
Fe_2,-0.022668976626401417
Fe_3,-0.04582456433302977
Fe_4,-0.0742375264656837
Fe_5,-0.1020157048464148
Fe_6,-0.12830565009263992
Cd_1,-0.010170605105688192
Cd_2,-0.01885171388068298
Cd_3,-0.00763119765859956
Cd_4,-0.0061497842279720615
Cd_5,-0.012104455446276596
Cd_6,0.0025595226488646264
Zn_1,0.0016402112703479744
Zn_2,0.009258889101959704
Zn_3,0.030298035430023126
Zn_4,0.04912966002646572
Zn_5,0.06903219965557071
Zn_6,0.07704617885985897
Cu_1,0.005255154015146089
Cu_2,0.012856004769618169
Cu_3,0.011972254420865804
Cu_4,0.019673610379277968
Cu_5,0.02232124900497897
Cu_6,0.0243204277318879
Pb_1,0.0027878435264352933
Pb_2,0.002170186387293595
Pb_3,0.0034373061006611324
Pb_4,0.005549827194856664
Pb_5,0.009820378245616287
Pb_6,0.020789378055439053
