,yajB
Cr_1,0.006779317748839896
Cr_2,0.015083389663293138
Cr_3,0.028691982694767963
Cr_4,0.041476298372052994
Cr_5,0.05136266298671772
Cr_6,0.06245256110013154
Fe_1,-0.007950994270080563
Fe_2,-0.017765387706526643
Fe_3,-0.026267306964134433
Fe_4,-0.040074696013624254
Fe_5,-0.05127770819929636
Fe_6,-0.059723232896138526
Cd_1,0.0035950485865403697
Cd_2,0.005961340748209861
Cd_3,0.01356823055865089
Cd_4,0.018804281577415673
Cd_5,0.018693836232787614
Cd_6,0.024183113999590243
Zn_1,0.00012149632404497078
Zn_2,0.005690297284570964
Zn_3,0.012830162978453812
Zn_4,0.02392514317265012
Zn_5,0.04121662127159093
Zn_6,0.05122370198899755
Cu_1,-0.0009136941637840931
Cu_2,0.00654350122940309
Cu_3,0.021498357679188427
Cu_4,0.03889511139837512
Cu_5,0.050769279096755625
Cu_6,0.06339065501685964
Pb_1,0.00849977412340098
Pb_2,0.01817155564926506
Pb_3,0.02830503287486245
Pb_4,0.0362417239695966
Pb_5,0.04066669574957508
Pb_6,0.04413274255959242
