,ubiE
Cr_1,0.002049670093531759
Cr_2,0.006290905702394872
Cr_3,0.010486820659298363
Cr_4,0.013339104706678305
Cr_5,0.01588139192790466
Cr_6,0.017936533125910006
Fe_1,-0.003466616550872369
Fe_2,-0.009217964067330204
Fe_3,-0.014309200032968431
Fe_4,-0.02831837283843365
Fe_5,-0.03639203033012452
Fe_6,-0.04490711831576096
Cd_1,-0.0031703865937738177
Cd_2,-0.00455596554814925
Cd_3,-0.007030122142867031
Cd_4,-0.009727203647174084
Cd_5,-0.016404874907468187
Cd_6,-0.016123508426560334
Zn_1,-0.0030108479793946
Zn_2,0.0005411427870899184
Zn_3,0.016702578135392103
Zn_4,0.04187005312834062
Zn_5,0.06918088584163856
Zn_6,0.09419021619282084
Cu_1,0.0049763763636423855
Cu_2,0.009579626732994841
Cu_3,0.01297467551159767
Cu_4,0.013729539719165379
Cu_5,0.01831948405762567
Cu_6,0.02343303110659248
Pb_1,-0.0009329485499088882
Pb_2,-0.0012526517932950991
Pb_3,0.005437105099965651
Pb_4,0.014269096834434334
Pb_5,0.025248689348587133
Pb_6,0.04142004308460866
