,rluF
Cr_1,0.001954006763103761
Cr_2,0.006208928471071308
Cr_3,0.010798176770058648
Cr_4,0.008657710267408868
Cr_5,0.003287322663048845
Cr_6,-0.0035685674143137525
Fe_1,-0.007592591234492028
Fe_2,-0.024059188895800308
Fe_3,-0.036031317045157454
Fe_4,-0.053361088957718836
Fe_5,-0.061415989774343774
Fe_6,-0.0583953208968709
Cd_1,0.003199485319351483
Cd_2,0.005431565250004037
Cd_3,0.008963572971164287
Cd_4,0.01222747042932335
Cd_5,0.01169597189962028
Cd_6,0.015886425798742474
Zn_1,-0.003528334306628631
Zn_2,-0.012455291985326843
Zn_3,-0.0016079629006696395
Zn_4,0.005438258513284502
Zn_5,0.0039845206514741395
Zn_6,0.016258109112301685
Cu_1,0.03526968570289804
Cu_2,0.12433590210859535
Cu_3,0.19338561034270926
Cu_4,0.24290810212841485
Cu_5,0.2705840532952393
Cu_6,0.29096552414329085
Pb_1,0.00707992341373303
Pb_2,0.017407025905480322
Pb_3,0.025504707683619683
Pb_4,0.03834420401191857
Pb_5,0.05029971024787462
Pb_6,0.059641159714486275
