gene_id,USA300HOU_RS15180
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,DUF3125 domain-containing protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002832000"">AureoWiki</a>"
