,nlpD
Cr_1,-0.006950659052979075
Cr_2,-0.0058830774708308105
Cr_3,-0.006279940316594266
Cr_4,-0.009959704172947286
Cr_5,-0.01927451136058301
Cr_6,-0.022518076131693883
Fe_1,-0.004820606099443221
Fe_2,-0.020070779459646585
Fe_3,-0.04695623531343847
Fe_4,-0.07718261983845688
Fe_5,-0.103231304486786
Fe_6,-0.1182234456471281
Cd_1,0.005038683052274453
Cd_2,0.010231778575527558
Cd_3,0.013102571569637232
Cd_4,0.01054192647008368
Cd_5,0.006378214462388966
Cd_6,0.0077823035705390795
Zn_1,-0.002467075999395114
Zn_2,-0.006931460434726482
Zn_3,-0.012181424959421377
Zn_4,-0.01417478217227791
Zn_5,-0.02237992537937877
Zn_6,-0.030602385568365295
Cu_1,0.0057629914518342465
Cu_2,0.012452004081113294
Cu_3,0.011845822918232095
Cu_4,0.0066516372688025524
Cu_5,-0.0006361097004453948
Cu_6,-0.009681071634489277
Pb_1,0.007548788565784406
Pb_2,0.021917763691813967
Pb_3,0.03385248862368561
Pb_4,0.04237525884510495
Pb_5,0.04778526935349695
Pb_6,0.06455791598577072
