,pgmI
Cr_1,0.0008264772909443338
Cr_2,-0.0021810880952937896
Cr_3,-0.0022423592790892736
Cr_4,-0.002806594065243488
Cr_5,-0.00822710777562067
Cr_6,-0.011682680960220768
Fe_1,-0.007935857852512327
Fe_2,0.010486131414131235
Fe_3,0.042867831145070916
Fe_4,0.08890552926810201
Fe_5,0.14300948573164793
Fe_6,0.16106151192302898
Cd_1,-0.000627958619114754
Cd_2,0.007425358387956495
Cd_3,0.007965586855138478
Cd_4,-0.0024904377124111737
Cd_5,-0.011172638227985487
Cd_6,-0.0141063634786086
Zn_1,-0.01788622053382101
Zn_2,-0.029556286822491718
Zn_3,-0.03486965096468888
Zn_4,-0.049137633630281376
Zn_5,-0.0590790013192968
Zn_6,-0.060486319019791075
Cu_1,0.022819556297979948
Cu_2,0.044474682055461734
Cu_3,0.056802380832611875
Cu_4,0.07530582432787332
Cu_5,0.09828505865589628
Cu_6,0.11823793129658262
Pb_1,0.005969759805501086
Pb_2,0.007254948912941135
Pb_3,0.010273507253158887
Pb_4,0.016462626080079666
Pb_5,0.017669585257569304
Pb_6,0.014620484052831425
