,A,MtrB
R2,,0.0370046978219053
xmin,,-5.7278666667
xmid,,
xmax,,0.9717333333
ystart,,-10.09860432661357
yend,,-3.2609857506264963
LBexp_1,-10.7056256318,0.1975333333
LBexp_2,-10.4946669652,-0.11786666670000001
LBexp_3,-10.9698021189,-0.4913666667
LBtran_1,-10.2245518719,-1.4827666667
LBtran_2,-8.8326325516,-1.1987666667
LBtran_3,-7.936839673,-1.1207666667
LBstat_1,-10.3690855923,-1.6237666667
LBstat_2,-9.9471905968,-1.9622666667000002
LBstat_3,-9.8073238637,-2.2771666667
LBGexp_1,-8.7754345944,-0.1514666667
LBGexp_2,-11.7635167499,0.0387333333
LBGexp_3,-11.8061978413,0.10083333330000001
LBGtran_2,-8.8357078398,-2.0849666667
LBGtran_3,-9.4117286187,-0.4864666667
LBGstat_1,-9.0689936873,-2.4009666667
LBGstat_2,-8.722704974100001,-3.2305666667
LBGstat_3,-8.5299220283,-2.0611666667
S0_1,-5.5808447716,-0.5294666667
S0_2,-6.6668908822,-0.4848666667
S0_3,-6.1050301235,-0.4163666667
S1_1,4.6779948739,0.0524333333
S1_2,3.7922705877,0.010533333300000001
S1_3,4.6445541624,0.07803333330000001
S2_1,-8.7012860064,-0.5879666667
S2_2,-9.0581178786,-1.0568666667
S2_3,-9.5001296294,-0.9362666667
S3_1,-8.1999983523,-0.2625666667
S3_2,-1.2182303081,-0.5952666667000001
S4_1,-10.5356482568,-0.3173666667
S4_2,-7.9816617311,-0.5437666667000001
S4_3,-11.265484622,-0.9611666667000001
S5_1,-10.1018780905,-1.1282666667
S5_2,-13.1946559651,-0.8129666667000001
S5_3,-10.4511823875,-0.9837666667
S6_1,-6.6499796993,-1.8047666667
S6_2,-17.7100077782,-5.2492666667
S6_3,-5.7591468314,-1.5517666667
S6/t_1,-7.2608563071,-2.0481666667
S6/t_2,-15.472653212400001,-5.7278666667
S6_4,-8.6292471623,-1.9968666667
S6_5,-8.3715717625,-1.3488666667
S6_6,-8.2955419892,-1.2070666667
S7_4,-11.5850944067,-1.6594666667
S7_5,-12.4117457375,-2.1486666667
S7_6,-11.2566080102,-1.7162666667000002
S8_4,-11.1549496245,-2.2143666667
S8_5,-11.1492027783,-3.6820666667
G135_1,-6.4800231279,0.30663333330000003
G135_3,-8.1187289252,-1.6103666667
G150_1,-8.376140522,0.0479333333
G150_2,-10.6764334585,0.4972333333
G150_3,-9.3973881873,0.6473333333
G180_1,-7.7524203922,0.2121333333
G180_2,-9.3623752106,0.5166333333
G180_3,-9.139508425,-0.5667666667
C30_1,-5.2610327468,-0.6075666667
C30_2,-4.3861560258,-0.37776666670000003
C90_1,-2.5775928777,-0.3684666667
C90_2,-0.0666173421,-0.16946666670000002
BI_1,-4.3533808771,-0.1549666667
BI_2,-3.8260136943000003,-0.1414666667
BC_2,-7.9948744528,0.5674333333
BC/t_1,-9.1355415741,0.1900333333
BC/t_2,-9.5948808917,0.5798333333
BC_1,-9.8724002684,0.2066333333
Sw_1,-6.5143731004,0.0557333333
Sw_2,-6.8958791086,0.3558333333
BT_1,-8.970560087900001,-1.0960666667
BT_2,-9.9124846505,-1.8695666667
B36_1,4.9071663777,-1.1660666667
B36_2,1.8519007608,-1.1453666667
B60_1,1.9043329912,-1.5834666667000001
B60_2,-0.9714292074,-1.1906666667
M9exp_1,-0.0154557945,0.3596333333
M9exp_2,0.1514592611,-0.0262666667
M9exp_3,-0.1360034666,-0.33336666670000004
M9tran_1,-1.0080366797,-0.4425666667
M9tran_2,0.7380593409,-0.2121666667
M9tran_3,-1.9624668796,-0.21636666670000002
M9stat_1,-9.4896814371,-3.0581666667
M9stat_2,-8.2082255567,-3.8083666667
M9stat_3,-8.2608908582,-3.9118666667
M+G_1,-3.3938998996,-0.3901666667
M+G_2,-0.4697599128,-0.43266666670000004
M+G_3,-0.7435806299000001,-0.3511666667
Glu_1,-0.9217184447000001,0.1571333333
Glu_2,0.26237612650000003,0.0076333333000000005
Glu_3,-3.612951687,0.2013333333
Fru_1,-0.9327379831,0.0201333333
Fru_2,-0.8904872311,0.0446333333
