,ybdL
Cr_1,0.0041860984785411365
Cr_2,0.014732315132865674
Cr_3,0.02510093202099093
Cr_4,0.030799301448680726
Cr_5,0.033560106678286725
Cr_6,0.034559803527954736
Fe_1,-0.007744242854358176
Fe_2,-0.03317107428941627
Fe_3,-0.060854173627255835
Fe_4,-0.09041535326635992
Fe_5,-0.11161564819044603
Fe_6,-0.1238715678942422
Cd_1,0.005883562989837352
Cd_2,0.015153479943467853
Cd_3,0.0232561014401478
Cd_4,0.029784361522593464
Cd_5,0.02913099724640603
Cd_6,0.03518135612804882
Zn_1,-0.002186517363540554
Zn_2,-0.003672797431955375
Zn_3,-0.006922913076934779
Zn_4,-0.003608209918419422
Zn_5,0.000540138558660707
Zn_6,0.006494895032996855
Cu_1,0.0023555953289657395
Cu_2,0.008052809683553238
Cu_3,0.016893075005372855
Cu_4,0.02745839749346495
Cu_5,0.03862978506701525
Cu_6,0.05231320794769642
Pb_1,0.003313380882064925
Pb_2,0.01023278528998207
Pb_3,0.015839584928033976
Pb_4,0.02282897090734891
Pb_5,0.028857699017266224
Pb_6,0.029619963147678695
