,ybaK
Cr_1,-0.008929282181034826
Cr_2,-0.013008313318701715
Cr_3,-0.013684632123185134
Cr_4,-0.013148577273658948
Cr_5,0.0032260167536184315
Cr_6,0.008327756873842691
Fe_1,-0.016883964664547186
Fe_2,-0.0448244018899276
Fe_3,-0.05697789174619186
Fe_4,-0.08239563269888336
Fe_5,-0.12218361671928753
Fe_6,-0.1527348490111033
Cd_1,0.004503261354023366
Cd_2,0.007400132727377466
Cd_3,0.007230184850206737
Cd_4,0.013038596344124857
Cd_5,0.011598948765924677
Cd_6,0.012588267660217057
Zn_1,0.0015126644168733095
Zn_2,-0.013095060238684206
Zn_3,-0.01446760372789435
Zn_4,-0.010576912546473196
Zn_5,-0.012394272985285762
Zn_6,0.00022559029775685854
Cu_1,0.010981750795083707
Cu_2,0.014216797267589015
Cu_3,0.016887001415579934
Cu_4,0.029580633161892876
Cu_5,0.043712516851149005
Cu_6,0.05045591062799309
Pb_1,0.004803112112180178
Pb_2,0.009538796293959529
Pb_3,0.013885586856166384
Pb_4,0.02241916689870449
Pb_5,0.03716562949538635
Pb_6,0.04834868673202199
