,ycgE
Cr_1,0.004576045655336677
Cr_2,0.00455099182006985
Cr_3,0.011427473945234912
Cr_4,0.015965964249997203
Cr_5,0.016722200451563432
Cr_6,0.020880420553642143
Fe_1,-0.02599859137894743
Fe_2,-0.04653669591640053
Fe_3,-0.07906621004043397
Fe_4,-0.11404992556592285
Fe_5,-0.1276959046381823
Fe_6,-0.13149438330489802
Cd_1,0.0033961650572107128
Cd_2,0.00743673002980626
Cd_3,0.014221021616363676
Cd_4,0.018644749416341568
Cd_5,0.024058855768421896
Cd_6,0.036733534202685714
Zn_1,-0.017309609876481138
Zn_2,-0.04204006762006567
Zn_3,-0.04259179997304916
Zn_4,-0.06768554946922195
Zn_5,-0.06677435216646359
Zn_6,-0.05928033800021676
Cu_1,-0.001636004786813005
Cu_2,-0.0002958982361822689
Cu_3,-0.003608344615103983
Cu_4,-0.00612180800361079
Cu_5,-0.006192308811679338
Cu_6,-0.00901988443682767
Pb_1,0.018406015068161943
Pb_2,0.028834885121128893
Pb_3,0.043294194562451566
Pb_4,0.05842857599346887
Pb_5,0.06761646029615155
Pb_6,0.07843084412646316
