,BSU33240
M9exp_1,9.7255
M9exp_2,9.4407
M9exp_3,8.7512
M9tran_1,10.0832
M9tran_2,10.4126
M9tran_3,10.4564
M9stat_1,13.2744
M9stat_2,12.2384
M9stat_3,12.0689
MG-0.1_1,8.8455
MG-0.1_2,8.3863
MG-0.1_3,9.4446
MG-0.2_2,8.708
MG-0.2_3,9.2414
MG+5_1,8.9222
MG+5_2,8.9036
MG+5_3,9.092
MG+10_1,9.134
MG+10_2,9.1103
MG+10_3,9.0823
MG+15_1,8.5054
MG+15_2,9.5957
MG+15_3,9.3312
MG+25_1,8.7774
MG+25_2,8.8503
MG+25_3,9.2487
MG+45_1,8.6641
MG+45_2,8.6906
MG+45_3,9.6462
MG+60_2,9.134
MG+60_3,9.2625
MG+90_2,8.7345
MG+90_3,9.2376
MG+120_1,9.0747
MG+120_2,9.7753
MG+120_3,9.2821
MG+150_1,9.1685
MG+150_3,9.0403
GM-0.1_1,9.1432
GM-0.1_2,8.9781
GM-0.1_3,8.6446
GM-0.2_1,9.3356
GM-0.2_2,9.0791
GM-0.2_3,8.3439
GM+5_1,9.0113
GM+5_2,8.8729
GM+5_3,8.7116
GM+10_2,8.8479
GM+10_3,7.9937
GM+15_1,9.2125
GM+15_2,8.7811
GM+15_3,8.3983
GM+25_1,9.3287
GM+25_2,8.5722
GM+25_3,8.2152
GM+45_1,9.2435
GM+45_2,7.9645
GM+45_3,8.5218
GM+60_1,9.1816
GM+60_2,8.09
GM+60_3,8.4001
GM+90_1,9.2756
GM+90_2,8.7497
GM+90_3,8.7977
GM+120_1,8.8352
GM+120_3,9.1346
GM+150_1,9.2645
GM+150_2,9.7191
GM+150_3,8.9901
BT_1,10.9102
BT_2,10.0051
B36_1,8.5541
B36_2,8.3207
B60_1,8.6672
B60_2,8.309
S0_1,8.5854
S0_2,8.5035
S0_3,8.8757
S1_1,9.7882
S1_2,9.7103
S1_3,10.0098
S2_1,9.8658
S2_2,9.6169
S2_3,9.9594
S3_1,10.0346
S3_2,9.6313
S4_1,9.4572
S4_2,9.5668
S4_3,9.7813
S5_1,9.1875
S5_2,9.656
S5_3,9.9405
S6_1,9.1718
S6_2,8.3953
S6_3,9.564
S6/t_1,9.0615
S6/t_2,8.1103
S6_4,9.2251
S6_5,9.801
S6_6,9.3433
S7_4,9.3954
S7_5,9.4726
S7_6,9.3752
S8_4,9.0598
S8_5,8.8152
G135_1,7.6403
G135_3,7.5016
G150_1,7.5981
G150_2,7.4055
G150_3,7.77
G180_1,7.4763
G180_2,7.305
G180_3,7.1422
T-5.40H_1,14.044
T-4.40H_1,13.3178
T-3.40H_1,12.8863
T-2.40H_1,12.7386
T-1.40H_1,12.6437
T-1.10H_1,12.8075
T-0.40H_1,12.9334
T0.0H_1,12.9683
T0.30H_1,14.1568
T1.0H_1,13.7327
T1.30H_1,13.8392
T2.0H_1,13.802
T2.30H_1,14.3995
T3.0H_1,14.2788
T3.30H_1,14.8801
T4.0H_1,14.7683
T5.0H_1,14.3501
LBexp_1,8.6168
LBexp_2,9.0542
LBexp_3,8.8709
LBtran_1,10.4645
LBtran_2,10.0182
LBtran_3,9.9615
LBstat_1,14.8882
LBstat_2,14.7773
LBstat_3,14.8682
LBGexp_1,7.6307
LBGexp_2,8.0929
LBGexp_3,7.832000000000002
LBGtran_2,9.809
LBGtran_3,9.8108
LBGstat_1,9.2179
LBGstat_2,8.7812
LBGstat_3,9.8385
Mt0_1,8.8058
Mt0_3,8.6346
M0t45_1,8.9464
M0t45_2,8.8943
M0t45_3,9.4858
M0t90_1,10.8537
M0t90_2,12.8742
M0t90_3,11.969
M40t45_1,8.925
M40t45_2,9.9345
M40t45_3,9.6093
M40t90_1,11.7705
M40t90_2,13.3468
M40t90_3,12.9664
dia0_1,8.6326
dia0_2,8.7356
dia0_3,9.0565
dia5_1,8.6863
dia5_2,8.7787
dia5_3,8.6099
dia15_1,8.2101
dia15_2,8.1822
dia15_3,8.4266
C30_1,11.1438
C30_2,11.5717
C90_1,10.5562
C90_2,10.9124
SMM_1,10.3129
SMM_2,10.2401
SMM_3,10.1022
Salt_1,9.7599
Salt_2,9.6572
Salt_3,10.0832
M+G_1,9.6504
M+G_2,8.9344
M+G_3,9.0285
Glu_1,8.9166
Glu_2,8.7019
Glu_3,9.4803
Fru_1,9.6108
Fru_2,9.0429
Fru_3,8.6303
Mal_1,9.0851
Mal_2,8.5233
Mal_3,8.9076
G+S_2,10.25
G+S_3,9.4963
Pyr_1,10.2457
Pyr_2,10.0852
Pyr_3,10.1492
Gly_1,9.5513
Gly_2,10.1872
Gly_3,8.9788
Glucon_1,9.3625
Glucon_2,9.3863
Glucon_3,9.0121
BI_1,12.1603
BI_2,12.5173
BC_2,10.9373
BC/t_1,10.5525
BC/t_2,10.7007
BC_1,10.5179
Sw_1,11.2426
Sw_2,11.6499
BMM_1,7.5945
BMM_2,7.4419
BMM_3,7.6855
Heat_1,7.8
Heat_2,7.2778
Heat_3,7.7979
Cold_1,8.1497
Cold_2,7.9806
Cold_3,7.8355
Etha_1,9.3261
Etha_2,8.923
Etha_3,9.1142
SMMPr_1,14.5368
SMMPr_2,14.2677
SMMPr_3,14.053
HiTm_1,15.2113
HiTm_2,10.9261
HiTm_3,13.9945
LoTm_1,12.9365
LoTm_2,12.3809
LoTm_3,12.3146
HiOs_1,11.3631
HiOs_2,11.3839
HiOs_3,11.1027
Oxctl_1,8.208
Oxctl_2,8.1977
Oxctl_3,8.1368
Diami_1,7.8581
Diami_2,7.6785
Diami_3,8.122
Paraq_1,8.0166
Paraq_2,8.0888
Paraq_3,7.6137
H2O2_1,8.0656
H2O2_2,8.165
H2O2_3,8.2166
HPh_1,10.0134
HPh_2,10.5531
HPh_3,10.3303
LPh_1,10.2282
LPh_2,11.3738
LPh_3,10.304
LPhT_1,14.9233
LPhT_2,14.9066
LPhT_3,15.2831
aero_1,10.373
aero_2,9.6763
aero_3,10.5804
nit_1,14.5479
nit_2,14.6684
nit_3,14.6677
ferm_1,14.2975
ferm_2,14.3071
