locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigA,CsoR,SigK,SigE,link
BSU_21060,0.099595213,yonK,unknown,No COG category,yonK->yonH,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21060
new_2228723_2229384,0.09514654800000001,S802,intergenic region,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2228723_2229384
BSU_21070,0.09216665900000001,yonJ,unknown,Function unknown,yonK->yonH,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21070
BSU_20140,0.09204951800000001,yosF,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20140
new_2161801_2162107_c,0.092003769,S768,intergenic region,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2161801_2162107_c
BSU_21090,0.091974754,yonH,unknown,No COG category,yonK->yonH,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21090
BSU_20390,0.091005402,yorG,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20390
new_2225616_2225829,0.09072996500000001,S799,3'UTR of yonN,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2225616_2225829
BSU_20370,0.090460223,yorI,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20370
BSU_20240,0.090034665,yorV,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20240
new_2185422_2185503_c,0.089934625,S772,intergenic region,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2185422_2185503_c
BSU_20070,0.08989496300000001,yosM,putative SPbeta phage subunit of nucleoside diphosphate reductase,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20070
BSU_21050,0.08857653500000001,yonN,DNA-binding protein HU 2,"Replication, recombination and repair",yonP->yonN,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21050
BSU_20400,0.08849756,yorF,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20400
new_2157233_2157340_c,0.088489276,S764,intergenic region,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2157233_2157340_c
BSU_20230,0.08826905900000001,yorW,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20230
BSU_20110,0.088056987,yosI,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20110
BSU_20120,0.087894555,yosH,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20120
BSU_19860,0.087540143,yotJ,unknown,No COG category,yosX->sprB,"SigK,SigA,SigE,CsoR",True,True,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19860
BSU_20180,0.087062447,yosB,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20180
BSU_20100,0.08677741200000001,yosJ,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20100
new_2169677_2170029_c,0.08640154,S770,intergenic region,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2169677_2170029_c
BSU_20090,0.08633884400000001,yosK,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20090
BSU_20170,0.08624918300000001,yosC,unknown,No COG category,,,False,False,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20170
