,A,CsoR,SigA,SigE,SigK
R2,,0.043558474969033645,0.0332567313711668,0.012743335040906634,0.006996747301992068
xmin,,-3.6797333333,-2.8581666667,-0.8104666667,-1.2443
xmid,,,-0.4538663647628924,,
xmax,,2.3763666667,1.3287333333,7.1393333333,7.5407
ystart,,11.040915295564707,5.931465990785844,4.999449405437245,4.551711256429854
yend,,-4.357818750612102,-1.792340757237942,-0.18102421889564813,0.4223689917686335
LBexp_1,-8.4090039563,-0.5648333333000001,0.4313333333,0.1665333333,-0.3915
LBexp_2,-7.7099681103,-0.3236333333,0.2070333333,-0.1060666667,-0.6488
LBexp_3,-3.0740805182,-0.9452333333,0.0450333333,-0.038166666700000004,-0.4047
LBtran_1,6.2940777781,-0.17773333330000002,0.09453333330000001,-0.0549666667,-0.9133
LBtran_2,5.344615726,-0.5937333333,0.2031333333,-0.1881666667,-1.0519
LBtran_3,7.879177769,-0.7948333333000001,0.18983333330000002,0.1796333333,-0.7138
LBstat_1,2.1515168526,-2.1572333332999998,0.2544333333,0.5048333333,-0.6418
LBstat_2,5.0315559264,-2.6943333333,0.33783333330000004,0.5509333333,-0.5715
LBstat_3,7.4617242246,-2.7870333333,0.2721333333,0.4123333333,-0.5671
LBGexp_1,-7.1000744586,-0.4228333333,0.6050333333,-0.3067666667,-0.4273
LBGexp_2,-5.9642024892,-0.4323333333,0.4716333333,-0.0889666667,-0.7876000000000001
LBGexp_3,-4.7758498946,-0.5837333333,0.7866333333000001,0.1175333333,-0.6666000000000001
LBGtran_2,8.0579288678,-1.4084333333,0.1297333333,0.34543333330000003,-0.6136
LBGtran_3,-0.0213980348,-0.18103333330000002,0.4393333333,0.5351333333,-0.48860000000000003
LBGstat_1,11.0429384543,-3.5608333333,0.4042333333,0.6502333333,-0.8629
LBGstat_2,8.5328294296,-3.6797333333,-0.2733666667,0.3549333333,-0.8476
LBGstat_3,11.7457683501,-1.8037333333,-0.5597666667,0.8398333333,-0.4163
S0_1,-1.7446520052,-1.6643333333,0.3059333333,-0.4641666667,-0.7828
S0_2,0.3994644351,-1.0700333333,0.0420333333,-0.3420666667,-0.5764
S0_3,0.30111795620000004,-0.8762333333000001,0.2446333333,-0.2384666667,-0.266
S1_1,4.3297956048,-0.46083333330000004,0.6412333333,0.5115333333000001,0.1592
S1_2,4.8779612562,-0.5193333333,0.7176333333,0.2598333333,0.1681
S1_3,5.2182082492,-0.3008333333,0.5724333333,0.4624333333,-0.060700000000000004
S2_1,-0.3115782308,-1.1154333333,-1.3588666667,6.1555333333,0.3511
S2_2,-1.5055422292,-1.5082333333,-1.2832666667,6.1434333333,-0.3383
S2_3,-0.3004234256,-1.6247333333,-1.5691666667000002,5.9902333333,-0.3783
S3_1,-1.6935622728,-0.9635333333,0.2958333333,7.1393333333,3.8131
S3_2,-2.8973411629,-0.7213333333,-0.5800666667000001,7.0200333333,4.3408
S4_1,-2.7225438541,-0.8879333333,-0.1741666667,6.7982333333,6.9809
S4_2,-4.5397892363,-1.4634333333,0.1319333333,6.3555333333,6.9647
S4_3,0.5409493372,-1.4216333333,0.0479333333,6.1197333333,7.0282
S5_1,-4.2905233301,-1.5375333332999999,0.45683333330000003,6.1923333333,7.3391
S5_2,-5.2297658913,-1.0618333333,0.6503333333,6.3460333333,7.487
S5_3,-5.3234458115,-1.1047333333,0.48193333330000004,6.4260333333,7.5351
S6_1,-4.3480959947,-2.5149333333,0.6142333333000001,5.3494333333,7.3925
S6_2,10.8087983797,-3.0593333333,1.3135333333,1.4351333333,7.3207
S6_3,-6.2553573991,-2.3310333333,0.2292333333,5.5393333333,7.2013
S6/t_1,4.0304839256,-2.5076333333000003,0.5664333333,4.9910333333,7.5407
S6/t_2,14.6432132124,-3.5227333333,0.6799333333,0.9104333333,6.2558
S6_4,5.7483737494,-2.2693333333,0.3513333333,4.5895333333,6.9897
S6_5,3.793138089,-2.0749333333,0.7257333333,5.3139333333,7.4723
S6_6,1.1255001,-1.8898333333,0.6137333333,5.4930333333,7.3135
S7_4,13.864869498600001,-1.8457333333000001,0.3621333333,4.9979333333,6.9599
S7_5,16.0226746975,-1.8658333333,0.23643333330000002,4.9249333333,6.6621
S7_6,18.3791917026,-1.7576333333,0.1780333333,5.0551333333,6.7501
S8_4,15.5434547004,-2.3523333333,-0.3188666667,4.4082333333,6.4609
