,-0.03243081644444444,-0.02432311233333333,-0.01621540822222222,-0.00810770411111111,0.0,0.008107704111111114,0.01621540822222222,0.024323112333333327,0.03243081644444444,0.040538520555555554,0.04864622466666667,0.05675392877777777,0.06486163288888888,0.072969337,0.0810770411111111,0.08918474522222221,0.09729244933333332,0.10540015344444444,0.11350785755555555,0.12161556166666666
thresh,-0.0364846685,0.0364846685,9,,,,,,,,,,,,,,,,,
unreg,0,6,60,1239,2232,321,60,13,8,7,4,15,24,32,28,23,2,0,0,0
SigK,0,0,0,17,77,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SigA,0,0,28,480,713,152,17,0,1,0,0,0,0,0,0,0,0,0,0,0
SigE,0,0,2,61,126,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigK and SigA,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigK and SigE,0,0,0,9,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CsoR and SigA,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SigA and SigE,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SigK, CsoR, SigA, and SigE",0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['yorC' 'yonV' 'bhlA' 'yopV' 'blyA' 'tagC' 'yomG'],['S780' 'yomE' 'yosT' 'yomD'],"['cwlP' 'S805' 'yorA' 'yorO' 'yorN' 'yomF' 'yomH' 'S806' 'yopW' 'yopX'
 'yonP' 'S800' 'S793' 'S774' 'pghZ']","['yoqY' 'yoqH' 'yomN' 'yonG' 'yoqU' 'S766' 'S775' 'yopY' 'yopZ' 'yosV'
 'yoqA' 'yonO' 'yojW' 'yomM' 'S778' 'S765' 'yonX' 'yorP' 'S779' 'yoqL'
 'yoqI' 'yoqJ' 'yomR' 'S777']","['yoqG' 'yoqD' 'yoqB' 'yoqK' 'yorQ' 'yorL' 'yoqN' 'S776' 'yoqC' 'yoqP'
 'yobU' 'yoqX' 'S804' 'yorR' 'yonE' 'yosW' 'yosQ' 'yonF' 'yoqR' 'yoqS'
 'yorK' 'yomO' 'yoqF' 'S798' 'youA' 'yomQ' 'yomS' 'yomP' 'yonA' 'yomW'
 'yoqE' 'yonB']","['S801' 'yomX' 'yosP' 'yonD' 'yonC' 'yorY' 'yorX' 'yomV' 'yorE' 'yomZ'
 'yorM' 'yosS' 'yomU' 'yomT' 'yomY' 'yorJ' 'yosD' 'S759' 'yosR' 'yosL'
 'yorT' 'yorS' 'S769' 'yorH' 'yorZ' 'S761' 'mtbP' 'yosE']","['yosG' 'nrdEB' 'yosC' 'yosK' 'S770' 'yosJ' 'yosB' 'yosH' 'yosI' 'yorW'
 'S764' 'yorF' 'yonN' 'yosM' 'S772' 'yorV' 'yorI' 'S799' 'yorG' 'yonH'
 'S768' 'yosF' 'yonJ']",['S802' 'yonK'],[],[],[]
SigK_genes,[],[],[],"['cgeE' 'spoIISA' 'cgeD' 'spoIISB' 'cotU' 'S945' 'S1075' 'ldt' 'yfhP'
 'S995' 'cwlH' 'yrzN' 'pghL' 'S1562' 'yabG' 'S195' 'cotQ']","['S296' 'gerPB' 'S839' 'S379' 'gerPF' 'yjqC' 'gerPC' 'gerPD' 'S425' 'S598'
 'ydgB' 'S657' 'gerE' 'ydgA' 'S28' 'S1316' 'cotP' 'lytH' 'cotI' 'S654'
 'cotA' 'gerPA' 'S1179' 'cotR' 'ytcC' 'S1178' 'gerPE' 'ykzQ' 'yqfQ' 'yrkC'
 'S497' 'ytdA' 'yodH' 'yaaO' 'yjzB' 'S380' 'ytlD' 'spoVIF' 'sscA' 'ytlC'
 'S622' 'ytcB' 'ykvP' 'yitB' 'spoVFA' 'ytlA' 'cotD' 'spoVFB' 'S1317'
 'ytxO' 'gerT' 'S751' 'ykvQ' 'cgeA' 'S349' 'S347' 'ylbE' 'S698' 'yitA'
 'cotF' 'ytcA' 'yisZ' 'cgeC' 'yeeK' 'yurS' 'yodI' 'sspG' 'cotS' 'oxdD'
 'cwlC' 'S394' 'yodU' 'ylbD' 'lipC' 'cgeB' 'S22' 'cotSA']",['yxeE' 'cotC' 'yaaN' 'ymaG' 'xpaC'],['csfB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
