,zraS
Cr_1,0.2760025880166265
Cr_2,0.5146362770640055
Cr_3,0.1886390466238516
Cr_4,0.5182938388216765
Cr_5,0.5596751702711744
Cr_6,0.6917933840185566
Fe_1,-0.16453538773320436
Fe_2,-0.19370618855105254
Fe_3,-0.15828087848278893
Fe_4,-0.09223850606503704
Fe_5,0.4186750323989788
Fe_6,0.5093463614296002
Cd_1,0.11420824612684395
Cd_2,-0.024315162915464403
Cd_3,-0.05425260921951857
Cd_4,-0.14795059772679595
Cd_5,-0.2612230296210036
Cd_6,-0.3539702921120343
Zn_1,0.003937615460827722
Zn_2,0.01973958330383518
Zn_3,0.0592752949561562
Zn_4,0.10283364240203399
Zn_5,0.11409275757447468
Zn_6,0.14689233532915372
Cu_1,0.005664056822039897
Cu_2,0.029793153161986833
Cu_3,0.09405210228411257
Cu_4,0.16846985504812115
Cu_5,0.22145842732826576
Cu_6,0.2614970841596453
Pb_1,-0.015423309558644462
Pb_2,-0.045740019054208284
Pb_3,-0.02520063937959261
Pb_4,0.01603231831820541
Pb_5,0.004522092003615361
Pb_6,-0.04077059786376433
