,A,Lrp
R2,,0.014010770412213214
xmin,,-10.1521245118
xmid,,-3.7171074676076463
xmax,,2.3501929199
ystart,,-0.7769186911003864
yend,,1.080466437585938
aat__00m_00s__1,-0.6245124519,0.1917489778
aat__00m_30s__1,0.0317257733,-0.0036410337
aat__01m_00s__1,0.0061714214,0.0638516938
aat__02m_00s__1,-0.7954356538,0.1884466547
aat__05m_00s__1,-2.3914427618,0.2606995247
aat__10m_00s__1,-2.7122163028,-0.18787669680000002
aat__00m_00s__2,0.14800703980000002,-0.0850462209
aat__00m_30s__2,0.2078940928,0.23201001070000002
aat__01m_00s__2,-0.47556274610000004,0.4624908091
aat__02m_00s__2,-1.2683326506000001,0.5094912821
aat__05m_00s__2,-2.3969215801,0.42741818940000004
aat__10m_00s__2,-3.3872648765,-0.011315053200000001
aat__00m_00s__3,0.4765054121,-0.1067027569
aat__00m_30s__3,-0.1289405022,-0.034949130700000004
aat__01m_00s__3,-0.292013283,-0.0507207701
aat__02m_00s__3,-0.9376380622,0.0607301561
aat__05m_00s__3,-2.3040321814,0.6821826714
aat__10m_00s__3,-2.9152990624,0.1046706146
abx_mega__dmso-2__1,0.6763645272000001,-0.07686038270000001
abx_mega__ery_dmso__1,-0.4414308589,-0.4184515133
abx_mega__nal_naoh__1,0.7789327476,-0.0463286922
abx_mega__dmso-5__1,-0.4457592251,0.291528555
abx_mega__rif_dmso__1,-2.8523757156,0.5837445491000001
abx_mega__novo_h2o__1,1.6084359199,-0.5783668051
abx_mega__rach_dmso__1,1.3426167792,-0.3544948952
abx_mega__metro_dmso__1,-2.6849552925999998,-0.0169901278
abx_mega__dmso-6__1,-1.2408297203,-0.19775123900000002
abx_mega__chl_h2o__1,0.8842859214000001,-1.3513809867
abx_mega__cst_h2o__1,0.2340174143,-0.0936446555
abx_mega__tec_h2o__1,2.3095971664,-0.29484850100000004
abx_mega__str_h2o__1,-0.8330703447000001,0.0541041576
abx_mega__ctx_h2o__1,1.1449363691,-0.0762063272
abx_mega__nal_naoh__2,0.5223184518,-0.5672398331
abx_mega__phos_h2o__1,1.9163774515,0.053708981100000004
abx_mega__dmso-5__2,-0.894238062,0.1920871912
abx_mega__polmyx_h2o__1,0.6371888166,0.0033290340000000002
abx_mega__h2o-8b__1,-0.1824339473,-0.2368879814
abx_mega__h2o-6__1,-0.1467897927,-0.2100487493
abx_mega__thio_dmso__1,-0.4037922505,-1.9313953898
abx_mega__phos_h2o__2,0.15931595680000002,-0.2188764248
abx_mega__ctx_h2o__2,4.7273955023,-1.5745697947
abx_mega__lzd_dmso__1,-0.492725609,-0.7282929664000001
abx_mega__naoh-9__1,1.9682522366000001,0.2102835278
abx_mega__dox_dmso__1,-0.17391591150000002,-0.34232132660000003
abx_mega__phos_ethanol__1,2.4510481508,-0.0360912475
abx_mega__teix_dmso__1,1.0232687802,-0.46139139360000003
abx_mega__dmso-10__1,0.5652230603,-0.0707081911
abx_mega__van_dmso__1,-1.7110877475000001,-0.9188570988
abx_mega__ramo_h2o__1,1.2173877812,-0.022524302700000002
abx_mega__tec_h2o__2,1.2944196924,-0.20139311000000001
abx_mega__h2o-7__1,1.2612962608,-0.7064351524
abx_mega__cro_h2o__1,2.8585063208,-1.1960682364
abx_mega__tric_ethanol__1,-0.8503131725,0.7780823415
abx_mega__nor_naoh__1,-0.5889364491,-0.4910773156
abx_mega__teix_dmso__2,-0.08637412650000001,-0.1605013107
abx_mega__nal_naoh__3,-0.364775006,-0.4457081766
abx_mega__novo_h2o__2,2.9052649334,-0.5657690496000001
abx_mega__dmso-10__2,0.7270478476000001,-0.0129645851
abx_mega__phos_h2o__3,-0.4926391035,-0.2699756884
abx_mega__dmso-6__2,-1.6851348416,0.139214748
abx_mega__rfp_ethanol__1,3.0998389415,-1.0064182484
abx_mega__dmso-5__3,-0.7148132534,-0.0378195053
abx_mega__amyc-d_dmso__1,-2.6046934794,-0.7699850183
abx_mega__sxt_dmso__1,2.0117695949,-0.5983222528000001
abx_mega__dmso-1__1,-0.20226675460000001,-0.0788764182
abx_mega__pen_h2o__1,-0.5227716314,0.1571077622
abx_mega__dmso-10__3,0.599502402,0.0026593751
abx_mega__nal_naoh__4,1.3003202413000001,-0.1895165987
abx_mega__cip_naoh__1,1.6364385672,-0.0914431154
abx_mega__pen_h2o__2,0.184395036,0.0211183045
abx_mega__ery_dmso__2,-2.9133996618999998,-0.1386738842
abx_mega__dmso-2__2,3.8028839601,0.38087032870000004
abx_mega__van_dmso__2,-1.759857519,-1.0385986195
