locus,gene_weight,gene_name,gene_product,cog,operon,regulator,gcvB,Lrp,link
b3744,0.51813763,asnA,asparagine synthetase A,Nucleotide transport and metabolism,asnA,"RpoD,AsnC,Lrp,Nac,gcvB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
b0674,0.23717630380000002,asnB,asparagine synthetase B,Amino acid transport and metabolism,asnB,"GadX,ppGpp,Lrp,gcvB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10092
