,dctA
Cr_1,-0.002507727512886573
Cr_2,-0.0014971641817167545
Cr_3,0.004302890406944528
Cr_4,0.014044547825248737
Cr_5,0.01955509943492016
Cr_6,0.024454552852222027
Fe_1,-0.0014726163556219734
Fe_2,0.012062754671082344
Fe_3,0.02362247450331415
Fe_4,0.021722778295860768
Fe_5,0.017763787506576933
Fe_6,0.01579969545078744
Cd_1,-0.00030499207033849845
Cd_2,0.00488800957662325
Cd_3,0.011567028014521252
Cd_4,0.017971221762603157
Cd_5,0.01679002897034046
Cd_6,0.022386712175728816
Zn_1,-0.0013082531397504136
Zn_2,0.007978643590615538
Zn_3,0.020058472049788476
Zn_4,0.03443001628455178
Zn_5,0.04695701032048652
Zn_6,0.05387761584707775
Cu_1,0.00384580612948219
Cu_2,0.01549455039442386
Cu_3,0.0282637140104781
Cu_4,0.040281270053116304
Cu_5,0.049388756404000006
Cu_6,0.059405259983580726
Pb_1,0.010031508869162304
Pb_2,0.021789122422894703
Pb_3,0.032481022755769584
Pb_4,0.04208090322366701
Pb_5,0.05225793991733452
Pb_6,0.06277294889438635
