,yrbA
Cr_1,-0.0008278954909940678
Cr_2,-0.0036632452156295796
Cr_3,9.068417160613969e-05
Cr_4,0.000517902013645425
Cr_5,0.003936075975751093
Cr_6,0.005786330471596614
Fe_1,-0.011643667759311443
Fe_2,-0.020528162344090082
Fe_3,-0.029018753397502317
Fe_4,-0.040898696644606256
Fe_5,-0.04056705107664856
Fe_6,-0.03353710540474311
Cd_1,0.006082807772438582
Cd_2,0.0092036926026228
Cd_3,0.011713403817797495
Cd_4,0.013892194868107723
Cd_5,0.01437999909671844
Cd_6,0.017378099603890383
Zn_1,0.0069334402846115105
Zn_2,0.029688335267451793
Zn_3,0.049290069734524385
Zn_4,0.07548019417728725
Zn_5,0.09879981793471952
Zn_6,0.12042917917778465
Cu_1,0.0036853305684483584
Cu_2,0.014844824060193896
Cu_3,0.029468186969444532
Cu_4,0.037531968283994833
Cu_5,0.04775958626118852
Cu_6,0.0532222701151703
Pb_1,0.005654003229233269
Pb_2,0.015911295569487966
Pb_3,0.023422129026584925
Pb_4,0.027701433814700097
Pb_5,0.03642124055684525
Pb_6,0.043290130687351436
